determinedly	断固として
abseil	(mountaineering) a descent of a vertical cliff or wall made by using a doubled rope that is fixed to a higher point and wrapped around the body|a descent of a vertical cliff or wall made by using a doubled rope that is fixed to a higher point and wrapped around the body|lower oneself with a rope coiled around the body from a mountainside; "The ascent was easy--roping down the mountain would be much more difficult and dangerous"; "You have to learn how to abseil when you want to do technical climbing"|lower oneself with a rope coiled around the body from a mountainside
accretive	growing by accretion
rubbing	摩擦|摩擦
intransigent	非妥協的な
wheatear	small songbird of northern America and Eurasia having a distinctive white rump
postbag	《a ~》《話》(ある人に一度に配達された)郵便物|=mailbag
oxazepam	オキサゼパム
haemolytic	溶血性
polyvalent	containing several antibodies each capable of counteracting a specific antigen; "a polyvalent vaccine"|containing several antibodies each capable of counteracting a specific antigen|having more than one valence, or having a valence of 3 or higher
varicocele	精索静脈瘤
subcompact	サブコンパクトカー(中型自動車(compact car)より一回り小さい車)
fusiform	tapering at each end
parenthetically	in a parenthetical manner; "he added parenthetically that he would not attend the wedding ceremony"|in a parenthetical manner
bounder	育ちの悪いがさつ者|下品な成り上がり者
agog	(期待･興奮で)わくわくして|～したくてうずうずして
nailhead	釘頭|釘頭
mastoid	乳様突起の|〈C〉乳様突起(耳の後ろの側頭骨にある)
liii	being three more than fifty
immunologically	免疫学的
millstream	水車用導水路の流れ
mithra	ancient Persian god of light and truth; sun god|ancient Persian god of light and truth|sun god
mimer	パントマイマー|イムアーティスト|マイマー|パントマイミスト
weightlifter	重量あげ競技者
phosgene	ホスゲン
grassroot	草の根
metastasize	転移する
nightdress	=nightgown
erecta	エレクタ (黄色オレンジ色の花が咲く花の名) 
whomp	張る
undecorated	not decorated with something to increase its beauty or distinction
ethnocentrism	自民族中心主義
hooliganism	バンダリズム
tartuffe	a hypocrite who pretends to religious piety (after the protagonist in a play by Moliere)
belligerence	交戦|闘争性
mantell	マンテル
gouty	痛風の|痛風にかかった
bisector	2等分線(面)
acellular	無細胞
oxytetracycline	オキシテトラサイクリン|オキシテトラサイクリン塩酸塩|テラマイシン
inviolability	侵してはならないこと|不可侵性
resister	抵抗する人
obstructionist	議事妨害者
galago	ガラゴ科
walkover	楽勝
hydronephrosis	水腎症
corbel	持ち送り積み(壁面から突き出た桁(けた)・はりの受け材)
neosporin	trade name for a topical drug containing several antibacterials; used as an ointment for skin irritations and in the form of eyedrops for minor eye infections|trade name for a topical drug containing several antibacterials|used as an ointment for skin irritations and in the form of eyedrops for minor eye infections
jubilate	悦ぶ|喜ぶ|歓喜
heth	the 8th letter of the Hebrew alphabet
epistaxis	鼻血|鼻出血
sylph	空気の精|ほっそりした美しい女
deoxycytidine	デオキシシチジン|シチジン
electrograph	an apparatus for the electrical transmission of pictures|electrical device used for etching by electrolytic means
syzygy	the straight line configuration of 3 celestial bodies (as the sun and earth and moon) in a gravitational system
medicolegal	法医学的
incongruent	not congruent
erogenous	(体のある部分が)性感を刺激する
abridgment	抄本|縮約
lexeme	(ˈlɛksiːm)|(文法)語彙素|言語学の形態論的単位|異なる形態だが同じ語の集合|例|child-children|go-goes-went-gone-going|big-bigger-biggest|各同じ語彙素
materialization	具体化|現れ|現われ|表れ|所産
humulin	a form of insulin (trade name Humulin) made from recombinant DNA that is identical to human insulin; used to treat diabetics who are allergic to preparations made from beef or pork insulin|a form of insulin (trade name Humulin) made from recombinant DNA that is identical to human insulin|used to treat diabetics who are allergic to preparations made from beef or pork insulin
cynosure	注目(賞賛)の的
sourpuss	(渋い顔をする)気難しい人|ひねくれ者
chalcopyrite	黄銅鉱(銅の原鉱)
expansionism	拡張論(政策)
shareowner	株主
systematize	順序立てる|組織立てる|系統分類|組織だてる|順序立つ|系統づける|系統立てる|体系づける|系統化|系列化
horseplay	馬鹿騒ぎ
mistreat	虐待|酷使する
radicchio	prized variety of chicory having globose heads of red leaves
kobo	小保
neurotrophin	ニューロトロフィン|神経栄養因子として|神経細胞の生存|発生|機能に必要とされるタンパク質
stiffener	堅くする人(物);(表紙・えりなどの)芯(しん);〈U〉補強材
extravasation	噴火|爆発|噴出
pavane	パバーヌ|パバーヌ
floret	小花
entreaty	懇願
flypaper	はえ取り紙
dunlin	ハマシギ
cohabit	同棲する
invitee	招待客
residuary	(法律上)残余遺産の取得権を持つ|残留物の
mournfully	しんみり|悲しそうに
officialdom	《集合的に》官僚|役人|《しばしば軽べつして》お役所風なやり方
wynd	小路|路地
passkey	=master key
canetti	カネッティ
vitrine	陳列棚|ケース|ショーケース
splitting	裂ける|割れる|割れるように痛む|キリキリ|腹が痛む様子
ichthyosis	魚鱗癬
headlock	ヘッドロック(レスリングで相手の頭を脇の下で締めつける技)
marvellously	驚くほど|すばらしく
doxology	栄光の賛歌|頌栄(しょうえい)(礼拝で歌う短い賛美歌)
okapi	オカピ
hyperbola	双曲線
rigatoni	リガトーニ
syndicalist	サンディカリズム主義者|サンディカリズム主義の
luxuriate	大いに楽しむ|ぜいたくをする|繁茂する|ぜいたくに暮らす|ふける
immunocompetent	免疫応答性
handhold	手づかみ|手がかり
fundament	ベース|基礎|下地|基盤|基|基本|根底|根本|土台|根柢|尻|ヒップ|御居処|どんけつ|尻臀|臀部|臀|御尻|お尻|おいど|ベース|根元|基部|基礎|根っ子|最下部|基|基底|礎|根積
triazolam	トリアゾラム
phantasmagoria	(夢や想像上の)めまぐるしく移り変わる光景|走馬灯のように去来する幻影
papilla	乳頭(状小突起)|柔軟小突起
reorganise	再結成|再編成|シェイクアップ
orderliness	秩序(順序)正しさ|行儀よいこと
homodimer	ホモダイマー|ホモ2量体(生化学)
glutinous	粘着性の
liniment	塗布薬|塗り薬
gula	食過ぎ|喰過ぎ|食過|食い過ぎ|食べ過ぎ|過食|暴食|食いすぎ|喰い過ぎ
underling	下役|手下
ulema	ウラマー
ivry	a battle (1590) in which the Huguenots under Henry IV defeated the Catholics under the duke of Mayenne
frypan	フライパン
primitivism	原始主義(自然ないし自然的なものを人間的価値の規準とする立場)
chateaubriand	French statesman and writer; considered a precursor of the romantic movement in France (1768-1848)|French statesman and writer|considered a precursor of the romantic movement in France (1768-1848)|a very thick center cut of beef tenderloin
tapenade	a spread consisting of capers and black olives and anchovies made into a puree with olive oil
hundredweight	ハンドレッドウェイト|センタル|ハンドレッドウェイト|ハンドレッドウェイト
dishware	瀬戸物
hyphenate	ハイフンでつなぐ
tumorigenic	腫瘍形成性の
disbarment	弁護士資格のはく奪
burin	ビューリン
volution	観世水
antennal	触角の
rimu	tall New Zealand timber tree
coiffure	ヘアスタイル
brassard	腕章
aliment	食物(food);滋養物|扶養;扶養料
tokay	トーケイ|トーケイ
eupatorium	large genus of chiefly tropical herbs having heads of white or purplish flowers
spindly	細長い
matriarchal	characteristic of a matriarchy
ratan	=rattan
pupillary	of or relating to the pupil of the eye
fauld	a piece of armor plate below the breastplate
gavotte	ガボット(古いフランス舞踊;その曲)
courante	a court dance of the 16th century; consisted of short advances and retreats|a court dance of the 16th century|consisted of short advances and retreats
gravida	the number of the pregnancy that a woman is in; "in her third pregnancy a woman is said to be gravida three"|the number of the pregnancy that a woman is in|a pregnant woman
ambassadorial	大使の|使節の
penetrative	浸透性の|入り込む|鋭い|鋭敏な;感銘を与える
rearm	再軍備する
kurrajong	カラジョング
leakproof	漏れ防止の
ninjutsu	the traditional Japanese method of espionage; involves stealthy movements and the use of camouflage|the traditional Japanese method of espionage|involves stealthy movements and the use of camouflage
betatron	ベータトロン
cartilaginous	軟骨の
quester	探求者|探究者
ignominy	屈辱|不名誉
odourless	having no odor; "odorless gas"; "odorless flowers"|having no odor
reseat	〈劇場など〉‘に'新しい席を設ける|〈人〉‘を'再び座らせる
dismally	in a cheerless manner; "in August 1914 , there was a dismally sentimental little dinner, when the French, German, Austrian and Belgian members of the committee drank together to the peace of the future"|in a cheerless manner
unjustifiably	もっての外
browbeat	脅す
postbox	《おもに英》郵便ポスト(《米》mailbox)
keister	尻|ヒップ|御居処|どんけつ|尻臀|臀部|臀|御尻|お尻|おいど
stringently	厳重に|儼として|びしびし|厳として|ぴしぴし|厳に
ectodermal	＜ectoderm|外胚葉(発生初期における胚の外表面の細胞層|将来表皮や中枢神経系|感覚器官などに発達する)の|性の
cornsilk	each of the long filamentous styles that grow as a silky tuft at the tip of an ear of Indian corn
solvability	解決しやすさ|解きやすさ
contrail	飛行機雲
superficiality	〈U〉(内容・性質が)表面的であること|皮相|浅薄さ|〈C〉浅薄なもの
spotlessly	in a spotless manner; "spotlessly clean"|in a spotless manner
immobilisation	固定化|固定化
estriol	エストリオール
adsorbate	吸着物
quoit	《複数形で》《単数扱い》鉄輪投げ|{C}(鉄輪投げの)鉄輪　尻の穴
stocktaking	在庫調べ|たなおろし|(現状の)調査
mountie	(カナダの)騎馬警官隊員
congener	同種|同類の物(人)|同属の動植物
pogge	northern Atlantic sea poacher
disulfiram	ジスルフィラム
adductor	内転筋|貝柱
momus	god of blame and mockery
avocation	副業|趣味|職業
buchenwald	a Nazi concentration camp for Jews in World War II that was located in central Germany
misrule	悪政|矢政|〜‘の'統治(政治)を誤る
unasked	問われない|求められない|頼まれない|招かれない
copiously	山山|うんと|たくさん|聢り|豊富|確り|ふんだんに|沢山|大量|多く
narthex	拝廊(教会の正面入口から本堂の至る広間になっている廊下)
aminophylline	アミノフィリン
somatotropin	成長ホルモン|ソマトトロピン
pantheist	汎神(はんしん)論者
wordfinder	a thesaurus organized to help you find the word you want but cannot think of
perpetration	悪事を犯すこと;〈C〉犯行|悪事
mytilus	type genus of the family Mytilidae: smooth-shelled marine mussels
candlepower	燭光(しょっこう)(candelaで測る)
chinaware	=china2
fistfight	拳骨での殴り合い
hollowware	銀・ガラス・銀器製の深皿(容器)
orthodontia	歯列矯正術
immunosuppressant	免疫抑制剤
threescore	60の|60束の|~and ten 70束
monism	(哲学理論での)一元論
dichromate	重クロム酸塩
jacksonian	a follower of Andrew Jackson or his ideas|of or pertaining to Andrew Jackson or his presidency or his concepts of popular democracy
simper	作り笑い(をする)|にやにや(にたにた)笑う
polyphase	多相
keenness	熱心さ|切迫|鋭さ|鋭敏|聡明
swathe	包帯
scornfully	軽蔑して
puerperal	出産の|分娩(ぶんべん)の;産婦の
magnetize	を磁化する|磁気を与える|磁化する|引き付ける|魅了する
worldliness	俗っぽさ|俗心
unpasteurized	not having undergone pasteurization
howbeit	〜とはいえ(nevertheless)|〜だけれど(although)
fieldtrip	(博物館・工場・農園などの)見学旅行|実地研究旅行
altarpiece	祭壇画|祭壇の
gameboard	盤|ボード|ゲーム盤
protectively	in a protective manner; "he bent protectively over the woman"|in a protective manner
numinous	evincing the presence of a deity; "a numinous wood"; "the most numinous moment in the Mass"|evincing the presence of a deity
braze	〈金属〉'を'はんだづけ(ろうづけ)する
noetic	知性的|理性的|知的|主知的
sisterly	姉妹の;姉妹のような;仲のよい
windbreak	防風林|(塀などの)風よけ
cowherd	牛飼い
simulacrum	幻影|面影||像|似姿|にせ物
tanguy	タンギー
submerse	=submerge
keratoconus	円錐角膜
ghostwrite	〈著作・演説原稿など〉‘を'代作する|代作する
sixpack	(ビールやかん詰めなどの)6本入り[パック] = six-pack
intussusception	嵌入|陥入
avidity	熱心さ|強い熱意|貪欲
polyphosphate	ポリリン酸塩(重合リン酸塩ともいい|正リン酸が脱水縮合した化合物)
thrombospondin	トロンボスポンジン(血小板タンパク質の一種)
canvasback	オオホシハジロ
vindicator	a person who argues to defend or justify some policy or institution; "an apologist for capital punishment"|a person who argues to defend or justify some policy or institution
accustom	習慣づける|を慣らす|に対して慣らす
quantal	of or relating to a quantum or capable of existing in only one of two states
fafnir	ファフニール
dicarboxylic	ジカルボキシル
megalomania	誇大癖|誇大妄想
nuthouse	精神病院
naiad	(ギリシア神話・ローマ神話で|少女の姿をして川や泉に住む)水の精
graphology	筆跡学|筆跡観相学
egad	やあ|いやはや!
viciousness	酷薄さ|惨忍さ|残忍性|凶悪さ|残忍さ|殺伐さ|無残|酷薄|暴虐|無惨
vandalise	destroy wantonly, as through acts of vandalism; "vandalize the park"|destroy wantonly, as through acts of vandalism
norvir	リトナビル
blucher	上端が両側に折り重なる皮製の半長靴
tyramine	チラミン
pyrethrum	除虫菊|除虫菊|除虫菊|除虫菊
dippy	気がふれた|ばかげた
unspecific	大掴|大雑把|おおざっぱ|大まか|大掴み
arethusa	any of several bog orchids of the genus Arethusa having 1 or 2 showy flowers
molecularly	分子的
benzocaine	アミノ安息香酸エチル
pantograph	写図器(一端を固定して伸縮できるパンタグラフ状の器具;比率を変えて写図できる)|(電車の)パンタグラフ
poetess	女流詩人
bowhead	large-mouthed Arctic whale
leguminous	マメの|マメ科の
quarrelsome	けんかっ早い|短気な|けんか好きの|口論好きの
butylene	ブテン|ブチレン
executrix	女の遺言執行者
packrat	モリネズミ(北米産;小さく光る物を巣に集める習性がある)
isomeric	of or relating to or exhibiting isomerism
blowtorch	トーチランプ
tamponade	タンポン充填
hypochondriac	心気症の(人)|憂鬱症の|健康なのに病気だと思って悩む
sympathizer	シンパ|共鳴者|支持者|同情者|同調者
damnable	地獄に落ちるべき
rooter	スポーツ・ファン
peroneal	of or relating to the fibula or the outer part of the leg below the knee
sweetpea	スイートピー
hagiography	聖人伝|聖人研究
necrophilia	死体姦(かん)症(死体に性的魅力を感じること)
musher	a traveler who drives (or travels with) a dog team
blasphemer	(神や神聖なものに対して)不敬なことを言う人|冒瀆する人
myocyte	筋細胞
ragtag	社会のくず|下層民
proprioception	the ability to sense the position and location and orientation and movement of the body and its parts
moodiness	むら気な|むっつりした|不機嫌な|ふさぎ込んだ
heuchera	genus of North American herbs with basal cordate or orbicular leaves and small panicled flowers
navigability	(川・海などの)航行可能(性)
volvulus	腸捻転
macer	an official who carries a mace of office
interregnum	(国王の死などによる)空位期間|(政治の)空白期間
meclizine	メクリジン
antitoxin	〈C〉抗毒素|〈U〉抗毒素血清
oedipal	エディプス複合(Oedipus complex)の
enthrall	魅了する|夢中にさせる
clawback	finding a way to take money back from people that they were given in another way; "the Treasury will find some clawback for the extra benefits members received"|finding a way to take money back from people that they were given in another way
aspectual	(動詞の)相の
fruitfully	生産的
charolais	large white or cream-colored breed from France
brontosaurus	雷竜
aneurin	ビタミンＢ１|チアミン
weeder	a farmhand hired to remove weeds|a hand tool for removing weeds
quantitated	定量の
lassa	Lassa feverラッサ熱|アフリカ起源のウィルス性の出血熱のひとつ
shockproof	(時計・機械・装置などが)耐震性の
dethrone	退位させる
coexpression	共発現
drippy	(水の)滴る|雨の多い|ありふれた|弱虫の
eyrie	面積|面積
haemostasis	止血
partway	ある程度;途中まで
syringa	バイカウツギ|ハシドイ
saturnalia	〈C〉《文》お祭り騒ぎ|どんちゃん騒ぎ|《the S-》《単数・複数扱い》(古代ローマの)農神祭
downshift	〈自動車のトランスミッション〉‘を'低速ギアに替える|低速ギアへの切り替え
uranyl	ウラニル
pij	a militant Palestinian terrorist group created in 1979 and committed to the creation of an Islamic state in Palestine and to the destruction of Israel; smaller and more exclusively militant that Hamas|a militant Palestinian terrorist group created in 1979 and committed to the creation of an Islamic state in Palestine and to the destruction of Israel|smaller and more exclusively militant that Hamas
vanzetti	バンゼッティ
quantize	クォンタイズ|クォンタイズ|量子化
uncorroborated	unsupported by other evidence
psychopathy	精神病
reliquary	聖骨箱|遺物の
logarithmically	対数的
contrabass	コントラバス(最低音の弦楽器)
abridgement	抄本|縮約
breadfruit	パンノキ|パンノキの実(メロン大で果肉の主成分は澱粉)
folliculitis	inflammation of a hair follicle
unpersuasive	not capable of persuading
hepatica	ユキワリソウ(薄紫・白などの花を咲かせるキンポウゲ科の植物)
flagellation	鞭打ち|鞭毛運動
audiometric	of or relating to audiometry
synovitis	滑膜炎
timesharing	(電算機の)タイムシェアリング|時分割[方式]
venipuncture	静脈注射
killifish	目高
hemolysin	溶血素
spondylolisthesis	a forward dislocation of one vertebra over the one beneath it producing pressure on spinal nerves
agonistic	of or relating to the athletic contests held in ancient Greece|striving to overcome in argument; "a dialectical and agonistic approach"|striving to overcome in argument|struggling for effect; "agonistic poses"|struggling for effect
dramamine	ジメンヒドリナート
substitutable	(of words) interchangeable in a given context without changing the import of the expression|capable of being exchanged for another or for something else that is equivalent
polycarp	Greek bishop of Smyrna who refused to recant his Christian faith and was burned to death by pagans (circa 69-155)
deathtrap	危険な場所(老朽建造物，ぼろ船など)|死のわな(交通事故の起こりやすい場所や逃げ場のない炎上している建物のように非常に危険な場所・環境)
farfetched	こじつけの
immunosuppressed	of persons whose immune response is inadequate
paedophilia	小児性愛
ruggedly	in a rugged manner
axilla	腋の下|腋窩|腋|脇の下|腋下
insuperable	打ち勝ちがたい|克服できない
clubroom	部室
brainteaser	むずかしい問題(パズル)
agapanthus	アガパンサス|アガパンサス属
rester	a person who rests
chemiluminescent	化学発光
wariness	警戒|慎重さ
enceinte	in an advanced stage of pregnancy; "was big with child"; "was great with child"|in an advanced stage of pregnancy
equisetum	horsetails; coextensive with the family Equisetaceae|horsetails|coextensive with the family Equisetaceae
starlit	星に照らされた|星あかりの
globalize	make world-wide in scope or application; "Markets are being increasingly globalized"|make world-wide in scope or application
acropora	coelenterate genus of order Madreporaria, including staghorn corals
unvaccinated	not vaccinated
inauspicious	不吉な|不運な|不幸な
cullin	カリン(細胞周期の制御に関与する酵素の名)
overhand	(野球・クリケットの)オーバーハンドの|上手からの(手を肩より上にあげて行う);(水泳の)抜き手の|(テニスで)オーバーハンドの(腰より上のボールを打つ)|(クリケット・テニス・野球などで)上手で|オーバーハンドで;(水泳で)抜き手で
prescience	先見|達識|洞察|予知(能力)
pepperidge	columnar tree of eastern North America having horizontal limbs and small leaves that emerge late in spring and have brilliant color in early fall
nightspot	ナイトスポット
narcosis	(麻酔剤による)昏睡(こんすい)状態
colicky	激しい腹痛の
aconite	トリカブト(有毒性植物)
novelette	感傷的な中編小説
coagulase	凝固酵素
hornblende	a green to black mineral of the amphibole group; consists of silicates of calcium and sodium and magnesium and iron|a green to black mineral of the amphibole group|consists of silicates of calcium and sodium and magnesium and iron
coccyx	尾骨
oenothera	chiefly North American herbs with usually nocturnal flowers
bubo	横痃(おうげん)(そけいリンパ腺の炎症によるはれ物)
preoccupy	いっぱいにする|心を奪う|先取する
academical	=academic|《複数形で》大学の式服
monophyletic	単一系統の
davit	ダビット|救命ボートなどを吊って上げ下げするためのクレーン状の装置|a crane-like device for suspending or lowering equipment (as a lifeboat)
enzymatically	酵素的に cf|enzyme(酵素)
ploughman	農夫|いなか者|ploughは鋤(すき)
hokum	いんちき商品|おべんちゃら|でたらめ|安物のキャンディー|役にも立たない代物
valsartan	an angiotensin II inhibitor that is used to treat high blood pressure
opsin	オプシン
conscientiousness	律儀|念入れ|律義
ripcord	a cord that is pulled to open the gasbag of a balloon wide enough to release gas and so causes the balloon to descend|a cord that is pulled to open a parachute from its pack during a descent
roughage	粗い食物(飼料)(繊維を大量に含み腸の蠕動(ぜんどう)を刺激する)
ultracentrifugation	超遠心
morceau	a short literary or musical composition
servitor	(男性の)従者|従僕|召使い
axolotl	アホロートル(メキシコ産のサンショウウオ)
corregidor	コレヒドール島
distention	膨張|膨満|膨張
netminder	GK|ゴールキーパー|キーパー
goatskin	〈C〉ヤギの皮|〈U〉〈C〉なめしたヤギの革|〈C〉(酒を入れる)ヤギ革の袋
adrenalectomy	副腎摘出
unmoving	not in motion|not arousing emotions
cowrie	タカラガイ|コヤスガイ
jokey	愉快な|面白い|お調子者の
acceptation	(語句の)一般に認められた意味
chromosphere	彩層(太陽の周辺を取り巻いている白熱ガスの層)|恒星を取り巻くガス層
bryony	a vine of the genus Bryonia having large leaves and small flowers and yielding acrid juice with emetic and purgative properties
novitiate	見習期間
hardwearing	(衣類・靴など)長持ちのする
tappet	a lever that is moved in order to tap something else
henhouse	鶏小屋|鶏舎
liatris	リアトリス
bullfighter	闘牛士
pushcart	手押し車
cripes	(驚いて)おやまあ|これは|おやおや
caboodle	一群の人(物)|ひとかたまり|一団
mousey	臆病な|内気な
bunco	いかさま|ぺてん
antitank	designed for defense against armored vehicles
tieback	(カーテンを片側に寄せて止める)止め飾り
iodinate	ヨウ素化
rivulet	小川|細流
oarsman	(ボートの)こぎ手
proselytize	改宗させる|変節させる
scrapple	スクラップル(トウモロコシの粉を使った揚げ料理の一種)
tenderfoot	《米》(米西部の牧場などの荒い仕事に不貫れな)新参者|新前|(一般に)無経験者|初心者(novice)
requite	(〜で)〜‘に'報いる|返礼する(reward)|〜‘に'報復する《+『名』+『with』+『名』》
rudbeckia	North American perennial herbs with showy cone-shaped flower heads
embolic	of or relating to an embolism or embolus
crixivan	インジナビル
obiter	傍論|付随的意見　
saccadic	of or related to the rapid movement of the eyes between points of fixation
ratatouille	a vegetable stew; usually made with tomatoes, eggplant, zucchini, peppers, onion, and seasonings|a vegetable stew|usually made with tomatoes, eggplant, zucchini, peppers, onion, and seasonings
gingiva	歯肉|歯齦|歯ぐき|歯元|歯茎
belorussian	a native or inhabitant of Byelorussia
grizzle	〈特に小さな子供が〉しくしく泣く|(〜のことで|〜だと)だだをこねる|不平を言う《+『about』+『名』|+『that節』》
explainer	説明者
outrank	より高い地位を占める|重要性でに勝る|より上位にある
multiflora	ノイバラ
zealotry	《軽べつして》熱狂|狂信
chloral	クロラール(DDTに用いる)
depressingly	じめじめ
amenia	無月経
turp	removal of significant amounts of prostate tissue (as in cases of benign prostatic hyperplasia)
homophobe	a person who hates or fears homosexual people
drunkenly	酒の上で|酔って
hydrilla	クロモ
entranceway	上がり口|エントランス|門口|木戸|出入り口|御錠口|入り|這入り口|入りぐち|上がりぐち
onomatopoeia	擬音|擬音語
digging	採掘
nanometre	ミリミクロン|マイクロミリメートル|ナノメートル
bellybutton	へそ
ignorantly	in ignorance; in an ignorant manner; "they lived ignorantly in their own small world"|in ignorance|in an ignorant manner
digitalization	デジタル化
radiobiology	放射線生物学
olfaction	嗅覚
ferryboat	連絡船
drafty	not airtight
