parachutist	落下傘で降りる人|落下傘兵
attache	大使館員|(大使･公使の)随行員
canvasser	(選挙などの)運動員|(販売などの)勧誘員
cesspit	汚物だめ|(一般に)汚い場所
classified	分類された|機密の
complacence	=complacency
faubourg	(特にフランスの)郊外|近郊
obeah	(アフリカ・西インド諸島で行われる)魔術
ablate	除去する
overbalance	〜‘の'平衡を失わせる|(重さ・重要さなどで)〜‘を'圧倒する|‘に'勝る|平衡を失う|バランスをくずして倒れる
irrefragable	論争の余地のない|反論できない|否定できない
woad	(大青(たいせい)から採った)青色染料
prepay	前払いする
spud	小さい鋤(すき)
copybook	習字の手本帳|《米》複写薄
entombment	埋葬
gherkin	(酢づけにする)小キュウリ
nocturne	夜想曲|ノクターン|夜景画
solecism	文法(語法)違反|破格|無作法|誤り|不適当
viewless	意見のない
seasonably	時機を得て|つごうよく
aconite	トリカブト(有毒性植物)
cowman	牛飼い|牧畜業者
virological	ウイルス学的な
taillight	テールランプ
nonrepresentational	非描写的な|非具象的な|描象的な
ribonucleoprotein	リボ核タンパク質
striation	〈C〉細い溝(筋)にはいった状態|筋を付けること|〈C〉細い溝(筋)に一本(stria)
aphelion	遠日点(月・遊星が太陽から最も離れる点)
giro	郵便振替
yadda	yadda|yadda|yadda等と使う|等々|の意味|"blah blah blah"や"and so on"と同じ使い方(スラング) (=yada)
oxtail	牛の尾(特にシチュー・スープなどに用いる)
swallowtail	ツバメの尾;先が深く二つに割れたもの|《話》=swallow-tailed coat|アゲハチョウ
floret	小花
atony	(生体の組織の)無力[症]|弛緩(しかん)
expurgate	〈書物など〉‘の'不穏当な箇所を削除する
verboten	(法律などにより)禁じられた
bedew	(露・水滴・涙などで)〜'を'ぬらす《+『名』+『with』+『名』》
europium	ユーロピウム(希土類元素;化学記号は『Eu』)
loadstone	=lodestone
offish	よそよそしい
cornerback	アメリカンフットボールの守備陣の名
vend	(小さな商品を)売り歩く|(土地･家屋などを)売却する
annelid	環形動物(ミミズなど)|環形動物の
cabdriver	タクシー運転手
hidalgo	(スペイン語)下級貴族
interline	(語句などを)〈本の行間〉‘に'書きこむ《+『名』+『with』+『名』》|〈衣服など〉‘に'芯(しん)を入れる
sanely	正気で|分別をもって
blowhole	(トンネル・地下室などの)通風孔|(クジラの)噴気孔|(鋳物の)気泡(ほう)|(アザラシなどが呼吸するための)氷の中の穴
cabinetmaker	木工家具職人|指物(さしもの)師
craton	大陸塊(地殻で比較的堅く安定した部分)
pushcart	手押し車
ultranationalist	超国家主義者
cliffhanger	はらはらさせるもの|はらはらする試合
shoeshine	みがいた靴の艶|靴を磨くこと|靴磨き(人)
annuitant	年金受領者
dextrin	デクストリン|糊精(こせい)(印刷用インク・水あめなどの粘着剤)
deejay	ディスクジョッキー|DJ|disc jockey
ramie	〈C〉カラムシ(アジア産の低木で織物用の繊維が採れる)|〈U〉カラムシの繊維
enfranchise	〜‘に'参政権(選挙権|自治権)を与える|〈奴隷(どれい)など〉‘を'解放する|自由にする
unloose	(〜から)〈鳥・捕虜など〉'を'離してやる|解放する《+名+from+名》|〈つかんだ手など〉'を'緩める|解く
grayling	カワヒメマス
neuroblast	神経芽細胞
suspensive	未決定の;不確かな|不安な|中止する|停止の
ramekin	ラミキン(チーズやパン・卵などを混ぜて1人前ずつ焼いた料理)|ラミキン料理用の皿
photographically	写真術によって;写真のように
pterodactyl	テロダクティル(絶滅した翼竜の一種)
unstimulated	刺激されていない
rive	裂く|割れる
lemming	レミング(極地帯に住む小型のネズミ|大量繁殖で有名)
pigskin	〈U〉豚の皮;豚のなめし皮|〈C〉《米話》蹴球のボール(football)
lanai	ベランダ
typesetter	植字工|植字機
disputatious	論争(議論)好きな
nonfederal	非連邦(の)
dialectician	弁証法論者
grapnel	(また grapple|grappling hook|grappling iron)(複数のかぎや締め具のついた)固定具|引っ掛けかぎ|四つ爪(つめ)いかり(3本以上の爪のある小いかり)
megalopolis	メガロポリス(いくつかの大都市と隣接する複数の都市から成る大都市圏)
commingle	混ざり合う
ironist	皮肉屋
transmigrate	〈魂が〉他の肉体に転生する
calumet	カルメット(北米インディアンが和解の印としてタバコを回し吸いする長い飾りパイプ)
chrism	聖香油(教会で洗礼などの儀式に用いる油)
crooner	低い声で感傷的に歌う歌手|クルーナー
coliseum	大競技場
desuetude	廃止[状態]|不用
flyaway	(髪や服が)風になびく|風にゆれる
enthrall	魅了する|夢中にさせる
cannily	慎重で抜け目なく
dooryard	玄関の前庭
provolone	プロバローニ(芳醇(ほうじゅん)なイタリアチーズ)
catarrhal	カタル性の
humpbacked	ねこ背の|せむしの
mooch	(俗くそったれ|素人投資家|だまされやすい奴|バーゲン商品をあさる客|くすねる|ずる休みする|ねだる|ぶらつく|知らん顔をする
autoantigen	自己抗原
flatboat	(特に川の浅瀬で用いる幅の広い)大型平底船
slovenliness	だらしないこと|いいかげんさ
shirtfront	(特にノリをつけた正装用の)ワイシャツの胸部
whistler	(北米産)ロッキーマーモット
baccarat	バカラ|おいちょかぶに似たトランプ賭博
barbican	(城などの)物見やぐら|外堡(ほ)
jacuzzi	ジャグジー
lox	鮭の薫製|スモーク･サーモン
selectman	(米国New Englandでの)都市行政委員
sedulous	勤勉な|よく働く
unhinge	乱す|狂乱させる|蝶番(ちょうつがい)をはなす|混乱させる
mazurka	マズルカ(ポーランドの軽快な4拍子のダンス)|マズルカの曲
reverberant	反響する|鳴り響く
waviness	波立ち|波形
bluebell	空色のつり鐘形の花をつける植物の総称;スコットランドのイトシャジン|米国のハマベンケイソウなど
flagellate	鞭毛(べんもう)のある;鞭毛状の|〜‘を'むち打つ
hardhearted	無情な|冷酷な
planetesimal	微惑星体(太陽系生成時に互いとの衝突・合体によって原始惑星に成長する小天体)
peccadillo	ちょっとした過ち
extenuate	軽くする|酌量のする|軽くみなす|酌量する|軽減する
boaster	自慢屋|ほら吹き
barnstorm	芝居の地方巡業をする|《米》地方遊説する
highchair	脚の高い幼児食事用いす
voile	ボイル(木綿・羊毛・絹・レーヨン製の薄織物)
madden	(人を)発狂させる|激怒させる
durably	長持ちして|永続的に
monkfish	アンコウ|(=anglerfish)
midseason	中間期(スポーツなどの|=mid season) cf|high season|low season
outcaste	(インドで人が)社会的地位のない
sarsaparilla	〈C〉サルサ[パリラ](中国米に産するつる植物)|〈C〉サルサ根(薬用・シロップの香料に用いる)|〈U〉〈C〉サルサ[パリラ](サルサ根の香料人り清涼飲料)
whirligig	回転するおもちゃ|回転木馬|回転運動|変転|ミズスマシ
repackage	再パッケージ化
spermatozoon	精子|精虫
orison	祈り
protract	(時間的に)〜‘を'長引かせる
gadgetry	(家庭用などの)小道具･機械類|(器具類の)がらくた
indelicacy	〈U〉下品|野卑|無作法|〈C〉下品な言動
picnicker	ピクニックする人|行楽者
ragout	ラグー(野菜と肉や魚の煮込み料理)
dulcimer	ダルシマー|小さなハンマー(槌)で打って発振する台形の弦楽器
horseracing	競馬
spiffy	きちんとした|気のきいた|スマートな|しゃれた
tumescent	腫れた
pinecone	松かさ|松ぼっくり
autosuggestion	自己暗示
dinette	(家の中の)小食堂
cycloid	円形の
gasworks	ガス工場|ガス製造所
heedful	用心深い;(〜に)気を付ける《+『of』+『名』》
reft	(〜を)奪われて|失って《+『of』+『名』》
seismograph	地震計
coverall	すっぽりと覆うもの|つなぎ|赤ん坊のひとつなぎの服|全般的な|包括的な
ampersand	(ˈæmpɚs`ænd)アンパサンド(&の記号)
harridan	意地悪ばばあ|鬼ばば cf|hag
gibbon	ギボン|テナガザル
kerfuffle	騒動|言い争い(about)
pfft	(物が消えるさまを表し)パッ|フッ|(失敗を表し)ポシャッ
ribozyme	リボザイム|リボ核酸 (RNA)の一種で|触媒としてはたらく酵素の名
squareness	方形|四角;直角であること|公正|正直;きちょうめん
airstrike	空爆|空からの攻撃|航空ストライキ
fandango	ファンダンゴ(スペインの陽気な舞踏)
farina	穀粉|粉末|花粉
housefly	イエバエ
oxcart	牛車
synergize	相乗作用を与える
bannock	《英・スコットランド》バンノック(オートミールを主体にした菓子パン;米ではトウモロコシを用いる)
canaille	下層民|烏合(うごう)の衆|愚民
anticline	背斜褶曲(しゅうきょく)(岩石層が中軸より左右側に下方傾斜した地層構造)
barberry	メギ(赤くて細長く酸味のある実をつける低木)
forepart	(ある物の)前部;(ある期間の)初めの部分《+『of』+『名』》
friary	(托鉢(たくはつ)修道士の)修道院
twopenny	2ペンスの|安っぽい|つまらない
bollard	《英》(街路中央にある横断着用)保護柱|繋船(けいせん)柱|(街路にある車通行禁止を示す)柱
carpetbag	じゅうたん地で作った古風な旅行かばん
grippe	インフルエンザ(influenza)
tailless	尾のない
tonneau	トンノー(昔の自動車の後部座席)
woodcarving	木彫術|木彫り
curlicue	渦巻き形の飾り書き|装飾的な渦巻き
envenom	〈特に武器〉‘に'毒を塗る|〜‘を'憎しみで満たす
fannish	ファン心理|(反) unfannish
inkblot	インクのしみ
copayment	患者負担金
matchbook	マッチブック(二つ折りの携帯用はぎとり式マッチ)
colorist	カラリスト|彩色者
joyride	車をブッ飛ばすこと
navigability	(川・海などの)航行可能(性)
squally	突風の吹く|荒れ模様の|《話》形勢が悪い;不穏な
plonk	どすんと落ちること
dissimulate	=dissemble
monthlong	1カ月
submariner	潜水艦乗組員|アンダースロー|下手投げの投手
breadcrumb	パンの中の部分
matzo	マツォー|種なしパン
nara	奈良(日本の古都)
pinhead	馬鹿|間抜け|ピンの頭|つまらない物|まぬけ
stratus	層雲
colocalization	同時局在|共局在性|共局在
microdissection	顕微解剖
throatily	のど(しわがれ)声で
otolaryngology	耳鼻咽喉(いんこう)科(学)
retroflex	そり返った|反転音の(舌先を上にそらせ発音する)
festoon	花づな|花綱(で飾る)
calumniate	〜'を'中傷する|'を'悪口を言う
firth	河口|入り江|湾
inapt	不適当な|適切でない;(〜に)適さない《+『for』+『名』》|《補語にのみ用いて》(〜が)へたな|不手際な《+『at』(『in』)+『名』》
cataleptic	強梗(硬)症の|強梗(硬)症患者
melodramatically	メロドラマ風に
embezzle	着服する|使い込む|横領する
dearness	高価|親愛
panchromatic	(写真のフイルムなどが)全整色の|全色の|パンクロの
underfloor	(特に暖房装置が)床面下施工の
krone	クローネ(デンマーク･ノルウェーの通貨単位)
adversative	反対の意味の|対照を表す
congressionally	議会
myoblast	筋芽細胞(筋線維を形成する)
anesthetize	麻酔する
unseal	〜‘の'封を切る|‘を'開封する;〜‘を'開く(open)
foursquare	(特に建物が)正方形の|断固たる
impassivity	無表情|無感動|無神経
nabob	(18‐19世紀のイギリスで|アジアでもうけた)大金持ち;《軽べつして》大尽;お偉がた
nightstick	(米語)警棒
sericulture	養蚕|蚕業
scherzo	スケルツォ(おどけた調子の楽章)
topnotch	飛び切り上等の|第一級(一流)の
sparkler	線香花火
blepharitis	眼瞼(けん)炎(まぶたの炎症)
backflip	後ろ宙返りをする|バク転をする|態度をころりと変える|後ろ宙返り|態度の反転
alumna	(女子の)卒業生|(pl|alumnae)
backslide	(悪い方へ)後戻りする
bellybutton	へそ
mudslide	土砂崩れ
dactyl	(古典詩の韻律で)長短短格(‐);(英詩の)強弱弱格(‐‐‐)
countrified	(人が)いなかじみた|やぼな|(けしきなどが)ひなびた
diacritic	=diacritical|=diacritical mark
pilaster	ピラスター|柱形|付け柱|片蓋柱
alb	アルバ(司祭がミサで着る祭服)
buggery	=sodomy
birthstone	誕生石(生まれ月の星座にちなんだ宝石)
executrix	女の遺言執行者
ironstone	鉄鉱石|白色硬質陶器
indorse	=endorse
dewlap	(牛などの)のど袋|のどの皮膚のたるみ
evensong	(英国国教会の)夕べの祈り|晩祷(ばんとう)
loge	(劇場の)仕切席|特別席
pocketful	《a~》ポケット一杯(の〜)《+『of』+『名』》|たくさん(の〜)《+『of』+『名』》
titbit	=tidbit(うまい物の)ひと口; おもしろいニュース)
loupe	拡大鏡|ルーペ
mescal	〈C〉メスカル(アメリカのテキサス州および北部メキシコのサボテン)|〈U〉〈C〉メスカル酒(リュウゼツランの発酵汁を蒸留して造った酒)|〈C〉〈U〉(メスカル酒を造る)リュウゼツラン
rambler	＜ramble|ぶらぶら歩く人|ツルバラ
freeholder	土地・不動産自由保有権者
emote	感情を表に出す
gobbler	雄の七面鳥
pimpled	=pimply
peaky	峰のようにとがった|衰えた|やつれた|《話》気分が悪い
turbofan	ターボファン(ジェット推進機関の一種)
autodidact	独学者
transvestism	服装倒錯(同性愛者などが異性の服装をすること)
blueish	= bluish
sifter	調査官|ふるい|ふりかけ器
sirocco	シロッコ(北アフリカから南ヨーロッパ地方に吹きつける乾燥したほこりっぽい熱風)|(一般に)うっとうしい熱風
unguent	軟こう;こう薬
alongshore	海岸に沿った|磯(いそ)伝いの|海岸沿いに
cloudburst	(突然の)穀雨|どしゃ降り
chemiluminescent	化学発光
chromosphere	彩層(太陽の周辺を取り巻いている白熱ガスの層)|恒星を取り巻くガス層
shrillness	(声の)甲高さ|鋭さ
besmear	(〜で)〜'を'べたべたに汚す《+『名』+『with』+『名』》
misconstruction	誤解|意味の取り違え
oxbow	牛のくびきのU字型の部分|《米》川の湾曲部
birdseed	つぶえ(小鳥のえさ)
proband	発端者
stevedore	沖仲士|沖仲仕
bulrush	《米》フトイ|《英》ガマ(水辺・沼にはえる植物)
fluoridate	(虫歯を防ぐために)〈飲料水〉‘に'フッ化物を入れる
fuddle	(ウイスキーなどで)〈人|人の意識〉‘を'もうろうとさせる|意識がもうろうとすること|思考の混乱
imperturbability	容易に動じない|落ち着いた|冷静な|落ち着き
neutralism	(外交問題などの)中立主義政策
polecat	ケナガイタチ(ヨーロッパ産の肉食動物;攻撃されると悪臭のある液体を出す)|《米話》スカンク(skunk)(北米産)
unfathomed	測り知れない|深遠な
toupee	(はげ隠し用)男性かつら
untidily	だらしなく;無精に;乱雑に
demographer	人口統計学者
assumptive	仮定の|推測の|生意気な
moneymaker	儲け仕事|金儲けのうまい人|蓄財家
salesgirl	女店員
bacteriologist	細菌学者
horticulturist	園芸家
blear	(涙などで)目がかすんだ|曇った(blurred)|(涙などで)〈目・視力〉'を'かすませる(blur)
acerbity	〈U〉渋味|にがさ|〈U〉〈C〉辛らつさ
calibrator	内径(目盛り)測定器
cere	蝋膜(ろうまく)|ろうびき布で包む
daemonic	=demonic
gewgaw	安ぴかもの|見かけ倒しのもの|安ぴかの|見せかけだけの
citronella	〈U〉〈C〉シトロネラ(南アジア産の植物;石けんなどの香料となる)|〈U〉シトロネラ油
filarial	糸状虫の|フィラリアの
financing	融資
scansion	詩を韻律分析して音脚に分けること
septuagenarian	70歳[代]の人|70歳[代]の
cryptogram	暗号;〈C〉暗号文
flatfoot	(複flatfeet)偏平足|《俗》(複flatfoots)巡査
revivify	〜‘を'よみがえらせる|再び元気づける
scandalize	あきれさせる|あきれる|(人を)憤慨させる
filch	くすねる
honcho	長|親方|ボス・日本語の「班長」が語源
meadowsweet	シモツケソウ(白またはピンクの花をつける)
micronized	微粉化
obit	葬儀|死亡記事|命日
riptide	潮衝(他の潮流と衝突して激潮を起こす潮流)
granulate	〈砂糖など〉‘を'粒[状]にする|〈紙・革など〉‘の'表面をざらざらにする|粒[状]になる|表面がざらざらになる
arraign	(法廷に呼び出して)〈被告〉‘に'起訴事実の認否を問う|《文》〈言動など〉'を'とがめる|糾弾(きゅうだん)する;(〜に関して)〈人〉'を'とがめる|非難する《+『名』+『for』+『名』》
deckchair	甲板いす
hereabout	このあたりに
pitiably	哀れに
schoolmarm	(古いタイプのまたは田舎の)女教師|教師じみた|堅苦しい|物知り顔の人
bigamist	重婚者
chippy	フィッシュアンドチップスの店|chipmunk(シマリス)の愛称|chipping sparrow(小スズメ)の愛称|大工|あばずれ女
earmuff	耳おおい
eulogistic	(演説・文章が)賞賛の|ほめたたえる
zilch	(俗)ゼロ|無
toady	ごますり(人)|ごまをする
uncouple	〈連結したもの〉‘を'離す
elvish	=elfish
cumber	(〜で)〈人〉'を'じゃまする|‘に'負担をかける《+『名』+『with』+『名』》
ranchman	=rancher
unshod	《文》(人が)靴をはいてない|はだしの|(馬が)蹄鉄を打ってない
sadhu	(ヒンズー教の)聖者
screwy	らせん状の|搾取する|(口)変な|気が変な
abjuration	宣誓して放棄すること
moleskin	モグラの毛皮|モールスキン(昔|衣服・帽子を作ったじょうぶで滑らかな綿布)
spittoon	=cuspidor
mutagen	突然変異原|突然変異誘発物質
villein	(中世の)農奴
bowlful	(〜の)どんぶり(はち・わん)1杯[の量]《+『of』+『名』》
interscholastic	(特に中学校・高校)学校間の|対校の
personalty	=personal property
hayfield	干し草畑
sideward	横の|横向きの・(また『sidewards』)横に(へ)|横向きに
inquietude	不安|心配
spikenard	〈C〉カンショウ(甘松)(根から香料をとる芳香のある植物);〈U〉(その根からとった)甘松香|〈C〉(北米産の)ウド
laburnum	キングサリ(マメ科キングサリ属の有毒な小さい木)
chasuble	上祭服(ミサで司祭が着る袖のないゆったりした祭服)
garishly	派手に|けばけばしく
sockeye	紅鮭|sockeye salmon
confrere	(仏語)会員|同僚
geodesy	測地学
hous	ハウジング
uncharacterized	特徴付けられていない
wherefrom	[そこから]〜するところの(from which)
immunocytochemical	免疫細胞化学的な
presbyterian	長老派の人|長老派の信徒
catalpa	キササゲ類の植物(北米・アジア産)
pictograph	絵文字|象形(しょうけい)文字|ピクトグラフ|統計画(数字の代わりに絵や図を用いて表す)
bowlder	=boulder
seclude	(〜から)〈人〉‘を'引き離す|孤立させる《+『名』〈人〉+『from』+『名』》
beatnik	ビート族の若者|ビート族の人|服装や行動が突飛な人
contumacious	反抗的な|がんとして命令をきかない
dotard	もうろくした人
ensouled	ensoulの過去分詞(に魂を吹き込む|を心にとどめる)
heparinized	ヘパリン(抗凝結成分)化された cf|heparin
presumable	仮定(推定)できる|ありそうな(probable)
messmate	(軍隊の)食事仲間|同宿同飯の友
passbook	銀行通帳(bankbook)
perjure	偽誓する
loanword	外来語|借用語
cattail	ガマ(沼地に生える背の高いアシに似た植物)
immunoblotting	免疫ブロット法
deathblow	致命的打撃|(〜を)終結させるもの《+『to』+『名』》
hellion	乱暴者|無法者・乱暴者・わんぱく・いたずらっ子
immunocytochemistry	免疫細胞化学
julep	=mint julep
teetotal	絶対禁酒[主義]の
altruist	利他主義者
everytime	毎回
flab	ぶよぶよ|ぜい肉
radioman	無線技師
corselet	胴よろい|コルセレット(ブラジャーがついて胸を締めるコルセット)
necrophilia	死体姦(かん)症(死体に性的魅力を感じること)
transitively	他動詞的に|他動詞として
withholding	差し控え
boomtown	《米》新興都市
doorstop	戸止め|戸当たり金具
nullah	(インドで大雨の後などにできる)水路
expertness	練達
gluey	にかわ質(状)の|にかわのようにねとねとする
refractor	屈折媒体(レンズ)|=refracting telescope
officeholder	公務員
hijacker	乗っ取り犯人
bouillabaisse	ブイヤベース(魚・エビ・トマト・サフランなどをオリーブ油でいため|水を加えて煮たフランス風寄せなべ)
enjambment	句またがり(詩韻律である行の意味・構文が次の行に続くこと)
amorality	超道徳性;道徳意識の欠如|不道徳
tetanic	＜tetanus|破傷風の
cox	舵手|舵取り
declarer	宣言者|申告者
imputable	負わせられる|帰せられる;(〜を)負わせられる《+『to』+『名』》
straightjacket	=strait jacket
urodynamic	(医)尿力の|尿力学|尿動態
muddleheaded	(人・議論などが)混乱した
savageness	残忍;野蛮|未開
ringlet	小環|(長い)巻き毛
fantail	扇形の尾(部分)|クジャクバト(扇形の尾を持つハト)
portraitist	肖像画家|人物写真家
bottler	瓶詰め業者
ownerless	持ち主のない
downswing	ダウンスイング(ゴルフのクラブを振り降ろす動作)|(商況・出生率などの)下降|減少
scrofulous	るいれきの;るいれきにかかった
undercoat	(動物の長い毛の下の短い)下毛|(仕上げ塗り前の)下塗り
fanfic	二次創作
footpad	追いはぎ|(月に着陸するための)宇宙船の脚部
homiletics	説教術(法)
birdbath	(庭などに設けた)小鳥の水浴び盤
rotundity	丸々と太っていること|(声が)朗々としていること
straitlaced	(道徳や作法が)非常に厳格な|堅苦しい
firebomb	焼夷弾|火炎ビン|発火物|焼夷弾(火炎ビン･発火物)を投げ込む
popover	軽焼きマフィン・(軽い焼き菓子の一種)
wassail	(もと英国で用いた)乾杯のあいさつ|《おもに文》酒宴|酒盛り|乾杯する;酒盛りする|〜‘に'乾杯する
adulterate	(粗悪なものを)〜‘に'混ぜて品質をおとす《+『名』+『with』+『名』》
foxtrot	社交ダンスの一種|Foxは創始した米人の名|foxtrotはphonetic alphabetのfに使われるほど著名
groundhog	マーモット(marmot)|ネズミに似た動物
sapper	工兵隊員|敵前工作兵
anklet	(靴の)留め革|足首までの短いソックス
spay	卵巣を取り去る
poinsettia	ポインセチア
overspill	(都心が過密で)郊外に移る人々;(都市の)過剰人口
squeegee	とんま|まぬけ|ゴムぞうきん|スキージ|抜作|にゴムぞうきんをかける|ゴムぞうきんでふき取る
vicegerent	(王・最高長官の)代理人|名代
wallboard	壁張り用材
dishrag	=dishcloth1
haricot	インゲン豆
dogmatist	(キリスト教の)教義学者|独断する人
detractor	中傷者|けなす人
uncoil	〈巻いたもの〉‘を'ほどく|解く|ほどける|解ける
bursary	(大学などの)会計課|奨学金(scholarship)
moll	情婦|売春婦
ligate	(強く)縛る|ligate the artery動脈を結紮(ケッサツ)する
profiteer	暴利をむさぼる人
hewer	(木・石などを)切る人採炭夫
pointblank	(射撃など)至近距離からの|直射の|至近距離の|あけすけな|至近距離から|直射で|あけすけに
variegation	(特に植物の)多彩な色合い|雑色|まだら
poltroon	腰ぬけ|おく病者|ひきょう者
semiprecious	準宝石の
grabber	ひったくり|欲張り者|人の心を強くとらえるもの|度胆を抜くもの
paramedical	(看護婦・衛生兵などとして)医療の補助をする
pizzicato	ピチカートの(弦楽器の弦を指ではじく奏法)|ピチカートで|ピチカートで演奏される部分
striver	努力する人|戦う人
counterfeiter	にせ金造り;偽作者
astrobiology	宇宙生物学(exobiology)
organza	オーガンザ(薄いレーヨン・ナイロン・絹の平織物)
myrmidon	(王の)家来|忠僕;手先|子分
bedizen	(〜で)〜'を'ごてごて飾りたてる《+『名』+『with』+『名』》
bootblack	(街頭の)靴みがき
dexter	右(側)の|(盾の紋地の)右側の(向かって左|(反)sinister)
euphony	音調のよさ
incommode	〈人〉‘を'困らせる|‘に'迷惑をかける;〜‘の'じゃまをする
penology	刑務所学(刑務所の機能や管理について研究する)
carillon	組み鐘|カリヨン|鐘楽曲
carryall	大きな手さげ袋|(数人乗りの1頭立ての)四輪馬車|乗合バス
deadliness	致命[致死]的なこと・死にかかわること;死の状態
dotty	馬鹿な
molly	人気がある観賞魚(グッピーの異表記)
karat	カラット(金の純度を表す単位;純金を24カラットとする;《略》『k.|Kt.』;《米》ではおもに金にはkaratを宝石にはcaratを用いるが|《英》では宝石・金のいずれもcaratを用いる)
courtliness	上品さ|礼儀正しさ|尊厳
gazpacho	ガスパーチョ|スペイン料理とポルトガル料理の冷製スープ
luff	船首を風上へ向ける
pterosaur	テラソー(翼竜;現在絶滅している)
transmogrify	(魔法のように)姿･性格を一変させる
titillate	くすぐる(=tickle)
cowpuncher	=cowboy
paramountcy	最高位;(〜の)最上|至上《+『of』+『名』》
shuffleboard	シャッフルボード|銭はじき
neurotrophin	ニューロトロフィン|神経栄養因子として|神経細胞の生存|発生|機能に必要とされるタンパク質
ummm	うーん
culpably	不届きにも|けしからんことに
easterner	東部地方の人
thermosphere	温度圏(温度が高さとともに上昇していく地上80Kmより上部の大気圏)
