blende	閃亜鉛鉱
boucher	バウチャー|証書
prostitute	金のために売る|売春婦
prilosec	オメプラゾール
warmer	暖める人|加湿器
halftime	ハーフタイム
frye	フライ
giro	郵便振替
tenderness	柔らかさ|もろさ|敏感|愛情
wembley	a southeastern part of Greater London that is the site of the English national soccer stadium
ocular	目の|視覚による|ocular proof 目に見える証拠|接眼鏡
sandman	睡魔
pizzeria	ピッツェリア|ピザパイを売る店
dung	肥料(manure)|糞
conclusive	結論的な|決定的な|最終的な
undersign	sign at the bottom of (a document)|sign at the bottom of (a document) 
peri	ペリ|イラン神話|翼があり魔法を使う妖精|男は威厳があり女は美しく|火から生まれ麝香(じゃこう)やシタンの香りを食べる|ペリの女性が人間の男と結婚する事もある
brutality	横暴さ
plentiful	たくさんの|豊富な|多くの|豊富の|たっぷりの
massively	大規模
stately	威厳のあった|威厳のある|堂々と
lunchtime	昼食の時間
aeronautical	航空の
lasalle	French explorer who claimed Louisiana for France (1643-1687)
pwr	a nuclear reactor that uses water as a coolant and moderator; the steam produced can drive a steam turbine|a nuclear reactor that uses water as a coolant and moderator|the steam produced can drive a steam turbine
circumcision	割礼(ユダヤ教などで宗教的儀式として男性の陰茎包皮を切り取ること)|《Circumcision》(カトリックで)キリスト割礼の祝日|(聖公会で)受割礼日(1月1日)
exhibitionism	自己宣伝癖|露出症
compensatory	償いの|賠償的な|報酬の
guardianship	後見人の身分(役目|期間)
agate	めのう(瑪瑙)
brownie	クルミ入りチョコレートケーキ|夜農家に来て仕事をする小妖精
rayon	レーヨン|絹に似せて作った繊維|人絹(人造絹糸)や|ステープル･ファイバーからスフと呼ばれていた|Rayonは光線(ray)と綿 (cotton) の合成語
hacienda	(中･南米で住宅のある)農園|(農園･牧場の)住居
pervert	変質者|を悪用する|を誤解する
spectre	可視光|紫外線|赤外線などを分光器で分解し|波長の順に並べたもの|幽霊(UK英)
concurrence	一致
apnea	無呼吸
speakerphone	スピーカーホン
categorization	カテゴリー化
troublesome	やっかいな|骨の折れる
eucharist	聖餐(式)|聖餐用のパンとブドウ酒
objectivity	客観性
bachelorette	独り女
hereto	これに|この点(場所|事)へ
magnetism	磁力|魅力|磁気|人を引きつける力|磁気学
inventive	発明の才のある
shorty	ちび|短い服|背の低い人|丈の短い
chromosomal	染色体の
velour	ベロア|ビロード布の一種|ソフトな感じの布|ぬいぐるみの人形などに使われる|ベロアの帽子
elixir	霊薬|特効薬(イリクサ)|万能薬|不老不死の薬
cutting	割って入る
cyclical	周期的な(に起る)|循環する|循環株
mechanically	機械で|無意識的に
wiener	ウィンナソーセージ(語源|Vienna|Austria)|フランクフルト|ホットドッグ
fantasia	幻想曲|fantasy
marmot	マーモット
crackdown	(違法行為の)取り締まり|弾圧|手入れ|断固たる処置
calumet	カルメット(北米インディアンが和解の印としてタバコを回し吸いする長い飾りパイプ)
doggie	(幼児語)わんちゃん
futile	無益な|無駄な|くだらない|役に立たない
saigon	ホーチミン市
hydra	ヒュドラ|海蛇座|海蛇座|スネーク川|ヒドラ
elliptic	=elliptical
experimentally	実験的に
cysteine	システイン|アミノ酸の1つ
musculoskeletal	筋骨格系の
cocker	甘やかす|大事にする
affluent	豊富な|よどみなく流れる|裕福な|流れ込む
dix	ディックス
lonesome	寂しい|人里離れた
lifespan	寿命
unconventional	慣例にとらわれない|自由な|(服装など)略式の
solubility	溶解性
heartfelt	心からの
nome	ノーム
psf	a terrorist group of radical Palestinians who split with al-Fatah in 1967 but now have close relations with al-Fatah; staged terrorist attacks against Israel across the Lebanese border|a terrorist group of radical Palestinians who split with al-Fatah in 1967 but now have close relations with al-Fatah|staged terrorist attacks against Israel across the Lebanese border
telluride	テルル化物
victorious	勝利の|勝利を得た|勝った|戦勝の
mocha	コーヒー色|チョコレート色|モカ|上等のコーヒー|モカ革|モカ風味のケーキ|暗褐色|手袋用なめし革
sylvan	樹木の茂った|森の|森に住む
unnatural	不自然な|不思議な|人情にそむく|異常な
alphabetic	アルファベット順の
groundwork	基礎|土台
inert	(人など)のろい|生気のない|鈍い|不活性の
thrombosis	血栓症
symphonic	音の類似した|交響曲の|調和した
asker	未信者|求法者
modernity	現代性|現代的なもの
luscious	(味･香りが)よい|おいしい|甘い
ethos	(特定の民族･社会･時代･文化などの)気風|精神|思潮|エトス
bil	billionの略|10億
argyle	(対照的な色を用いた)ひし形編み模様|ひし形模様編みの短靴下
prophetic	予言的な
bextra	a Cox-2 inhibitor (trade name Bextra) that relieves pain and inflammation without harming the digestive tract
consequent	当然の|結果
neutrality	(国家の)中立|中立政策|中立･不偏不党の状態
ovulation	排卵
euthanasia	安楽死|安死術|安らかな死
liter	リットル(1000cc)
fume	蒸発する|煙|蒸気|煙霧|熱気|怒気|煙を出す|をいぶす
lowercase	小文字
goldfish	金魚
witherspoon	ウィザースプーン
irreversible	逆にできない|逆転できない|取り消しできない
understanding	物わかりのよい|理解|知力|思慮|相互の理解|一致
tung	アブラギリ
postpartum	分娩後の
dove	ハト|ハト派
glib	口の軽い|口の達者な|ベラベラしゃべる|口のうまい|行き当たりばったりの
downfall	大降り|失脚|滅亡|没落|落下
fictitious	架空の|偽の|創作上の|虚構|虚偽|架空
immortality	不死
saffron	サフラン|鮮黄色(の)
peerless	無比の|無類の
improbable	ありそうもない
atypical	異常な
excessively	過度に
devoid	欠けていて
extraordinarily	異常に|並外れて|異例に|特別に|法外に
idf	the ground and air and naval forces of Israel
haircare	ヘアドレッシング|ヘアケア
dishonest	不正直な
mailbag	郵便袋;郵便かばん(《英》postbag)
favorably	好意を持って|好意的に|好都合に|順調に|都合よく|有望に|有利に
autistic	自閉症の
beehive	ミツバチの巣(箱)|盛り上げた女性の髪型|人込み
postwar	戦後の
implantation	移植
edwardian	someone belonging to (or as if belonging to) the era of Edward VII|of or relating to or characteristic of the era of Edward VII in England; "Edwardian furniture"|of or relating to or characteristic of the era of Edward VII in England
dryden	ドライデン
unfavorable	都合の悪い|不運な|不利な|逆の|好意的でない|好ましくない
anomalous	異常な|変則の|例外的な
commonplace	普通の|平凡な(こと)|陳腐な(ことば)
feminization	女性化
frugal	節約する|倹約な|質素な|つましい
extremist	過激派
starry	星の多い|星のように輝いた|星形の
multipurpose	多目的の
cohesive	(日常などに)密接した|粘着性のある|結合性のある|密着する
caster	投げる人|配役係|鋳造者|(ピアノ|いすなどの)足車|キャスター|news casters(=news anchors)ニュース番組司会
louvre	ルーバー
medial	中間の|平均の|並みの|(文法)語中の
colossal	巨大な|素晴らしい|途方もない
conversational	会話の
brio	活気|元気
hanukkah	ハヌカー(ユダヤ教の祭り)
adsorption	吸着|吸着量
noc	an undercover agent who is given no official cover
dissatisfaction	不平|不満
cumbersome	扱いにくい|邪魔な|やっかいな
internationalization	国際化
refresher	飲食物|元気を回復させる人
transmembrane	膜貫通
scarab	スカラベ|フンコロガシ|コガネムシ
firth	河口|入り江|湾
cer	条件情動反応
undated	日付のない
alternately	交互に|一つおきに|互い違い|ちゃんぽん|交互
technologically	技術的に
gracefully	優雅に|淑やかに
anaerobic	anaerobic(bacteria|digestion|mud|fermentation|decomposition) 嫌気性(菌|消化|泥|はっ酵|分解)
waterman	漕ぎ手|船頭|漁師|こぎ手
etf	a mutual fund that is traded on a stock exchange
patiently	辛抱して|根気よく|辛抱強く
hefty	大きな|圧倒的な|かなりの
artificially	人工的に
pubic	陰部の|恥骨の
extravaganza	派手なもの|(豪華な)ミュージカル映画
nitrous	硝石の|窒素の
elegantly	エレガントに
airspace	領空
workable	運転できる
seminal	精液の|種子の|発生の|生殖の|未発達の|生産的な|独創性に富んだ
relevancy	関連(性)|適合性|検索能力
choreography	(バレエなどの)舞踊術(法)|振りつけ(法)
realistically	現実的に
polska	ポーランド|ポーランド共和国|ポールスカ
hula	フラダンス(の音楽)|フラダンスを踊る
scarcity	不足|稀少|まれなこと
abrupt	不意の|険しい|突然の
foxy	ずるい|こうかつな
offbeat	風変りな|突飛な
enquirer	(=inquirer) 尋ねる人|質問者
landau	ランドー|ランドー型自動車|ランドー馬車
colonization	植民地化|入植
agitation	動揺
lactation	乳の分泌|授乳期間
boldly	大胆に|太く
typography	活版印刷
unopened	開かれ(て)ない|未開封の
shorthand	速記
ebitda	income before interest and taxes and depreciation and amortization have been subtracted; an indicator of a company's profitability that is watched by investors (especially in leveraged buyouts)|income before interest and taxes and depreciation and amortization have been subtracted|an indicator of a company's profitability that is watched by investors (especially in leveraged buyouts)
mantis	かまきり(強欲|残酷の象徴)
clove	裂けた|ちょうじ
marketable	市場向きの|売れる
presto	(イタリア語)きわめて速く|速い|するとたちまち|プレストの(で)
telex	テレックス
raunchy	だらしない|みすぼらしい|不潔な|みだらな|調子が悪い|病気で
detoxification	解毒|無害化
whimsical	気まぐれな|風変わりな|変な|気まぐれ
aureus	黄色ブドウ球菌
chm	chairman
antiquarian	古物収集家|古物商|古物研究の|好古趣味の|古書売買の
beltway	環状道路(《英》ring road)
warmly	熱心に|暖かく|心から
sporadic	ときどき起こる|孤立した|散発性の|散発的な|散在する
eyebrow	眉
unnecessarily	不必要に|無用に|余計に|無駄に
reverence	尊敬|崇敬|崇拝
equalization	the act of making equal or uniform
painless	痛みのない|痛み(苦痛)がない|簡単にできる|努力を要しない
hydroxy	ヒドロキシ|ハイドロキシ|水酸化(である状態)
uneasy	心許ない|不安な|心配な|楽でない|窮屈な
shalom	シャローム(ユダヤ人のあいさつ･別れの言葉)
truce	中止|中断|休戦|停戦|停戦協定
defamation	中傷|名誉毀損|悪口
proteomics	the branch of genetics that studies the full set of proteins encoded by a genome
sampler	見本集|選書|取り合わせたもの
numerically	数値的に
hilbert	ヒルベルト
sexton	寺男|会堂管理人|墓掘り男|(ユダヤ教)堂守
coercion	威圧|強制
zona	ゾーン|地帯
mindful	気をつけて|忘れないで
hitherto	これまで(は)|いままで
circumference	周囲|円周|境界線
responsibly	責任を持って
downright	徹底的な|全くの|純然な|素直な|全く|率直な|完全な(に)
inexperienced	初心の|至らぬ|至らない|半人前の|不慣れ|駆け出し|未熟|無経験な|不慣れで
futurama	フューチュラマ|31世紀の地球を舞台にしたジオラマ|1939年ニューヨーク万博に展示され人気を博す|テレビアニメとして1999以降放送された
frosty	凍りつくような
maturation	成熟
refractive	屈折の
contentious	議論好きな|論争的な|異論のある|係争の
intercollegiate	大学間の|大学対抗の
zithromax	アジスロマイシン
emancipation	奴隷解放|解放|解脱
duchess	公爵夫人|女公爵|公妃
captivity	捕われの身|監禁|捕らわれ
bravery	勇敢|勇気
sincerity	誠実|率直さ
calder	アレクサンダー・カルダー
hairless	毛のない
belonging	happiness felt in a secure relationship; "with his classmates he felt a sense of belonging"|happiness felt in a secure relationship
unchecked	チェックしない
regionally	地域的に
liturgical	礼拝式の
exogenous	外因性の|外来栄養の
fluency	なだらかさ|流暢
conceivable	考えられる
oneness	(思想・信念・目的などが)一つであること;同一性|単一性
climber	登山者|はい登る植物(ツタなど)|出世主義者
recoverable	取り戻せる|元に戻せる|(体が)回復できる|全快できる
intellectually	知的に
lactose	ラクトース|乳糖
competitively	競争的に
feral	野生の|野にいる|野生化した|野獣のような|凶暴な
enrol	入れる
neurosurgery	神経外科
impatient	せっかちな|しきりに～したがる|～に耐えきれない
aforesaid	前述の
physiotherapy	=physical therapy
laird	地主|人名
objectively	客観的に
billabong	a stagnant pool of water in the bed of a stream that flows intermittently|a branch of a river made by water flowing from the main stream only when the water level is high
banger	爆竹|雷薬|音は大きいがきれいではない花火|(俗)ソーセージ
usmc	海兵隊|米国海兵隊
cervix	頚部
sikh	シーク|シーク
sewerage	下水設備;下水処理|=sewage
carpal	手根骨の|腕骨の|腕骨
avenger	復讐者
undocumented	文書化されていない
inuit	エスキモー
encapsulate	カプセルに包む|(事実･情報などを)要約する
evacuate	避難する|撤退する|疎開する|立ち退かせる|明け渡す|避難|退去|撤退
wordnet	ワードネット|ワードネット|プリンストン・ワードネット|英語ワードネット
nutritious	栄養の
marguerite	マーガレット(花の名|白菊)|人名
cautiously	慎重に
dressage	(馬の)調教|調馬
phylogenetic	系統発生の
morbid	ゆううつな|病気の|病的な|憂うつな|恐ろしい|不健全な
rubble	破片|瓦礫
cheeky	頬のよく発達した|生意気な
arco	(of instruments in the violin family) to be played with the bow
truthful	誠実な|正直な|本当の
eastside	of the eastern part of a city e.g. Manhattan; "the eastside silk-stocking district"|of the eastern part of a city e.g. Manhattan
corsica	コルシカ|コルシカ
rps	revolutions per second毎秒回転数
pseudomonas	シュードモナス属|グラム陰性で好気性桿菌の属|in vitro(試験管内)での培養が容易で|ゲノム配列数の増幅が可能な点で|学術的研究で重要視される
minimization	最小化
linearly	直線的に
poignant	感動させる|するどい|痛烈な|心が痛む
punishable	罰すべき
salient	顕著な|突き出た|噴出する
bradbury	ブラッドベリ
fission	分裂|核分裂|(fission核分裂|fusion核融合)
nth	n倍の|何番目か分からないほどの|最も新しい
mammography	マンモグラフィ|乳房X線撮影法|撮影装置
communicable	伝達可能な
enzymatic	酵素による
melanogaster	キイロショウジョウバエ
anew	再び|新規に
undetermined	未決定
yah	Yes|やあ-い
disproportionate	不つりあいな
bally	(UK英)ひどい
carving	彫刻物|彫刻(術)
exponentially	急激に|幾何学級数的に
terrier	テリヤ(犬種)
biologically	生物学的に
venerable	尊敬に値する|神聖な|いわれのある
admirable	賞賛すべき|立派な
octane	オクタン(石油に含まれる炭化水素の一つ)
brittle	壊れやすい|堅いがもろい|傷つきやすい|砕けやすい
politely	ていねいに|礼儀正しく|丁寧に
soapbox	石鹸を詰める木箱|(街頭演説のための)演壇用の箱
ingenious	工夫に富んでいる|器用な|精巧な|独創的な
elongation	延長|延長線|伸び|伸長|離角|離隔
somatic	(精神に対し)身体(上)の|肉体の
hiatus	(空間の)隔たり|(時間の)空白|隙間|切れ目|割れ目|ひび|中断|休止|欠落
spurious	偽の|私生児の|もっともらしい
gloom	薄暗くなる|暗がり|薄暗がり|陰気|沈んだ様子
reunite	再び結合する|仲直りさせる(する)
restrain	抑制する|を押さえる|を制止する|防止する
cytokine	サイトカイン
skier	スキーヤー
tremble	震動する|(体が)震える|身震いする|おののく|揺れ動く|そよぐ|おののき
antidepressant	抗うつ剤
insecticide	殺虫剤
astronomer	天文学者
underwriter	保険引受人
tun	大樽|醸造桶|注ぐ
deliberation	熟慮|慎重さ|(pl|)審議|討議|審理
inhale	吸い込む
tangle	をもつれさせる|を紛糾させる|を罠にかける|けんかする|混乱|もつれ|ごたごた
critter	生き物|動物|人|家畜|(神話の)奇妙な動物
lurk	待ち伏せする|(胸中に)潜む|潜伏する|忍んで行く
drinker	酒飲み|飲む人|家畜用の給水機
immerse	没頭させる|浸す|沈める|つける
appraise	の価値を決める|を見積もる|評価する|見積もる|値踏みする|査定する
refrigerate	冷却する|冷やしておく
eigenvalue	固有値
shingle	小さな看板|屋根板|小看板|を屋根板でふく|を短く刈る
chiropractor	脊柱指圧(調整)療法師
invertebrate	脊椎のない|無脊椎動物(の)|気骨のない
grate	すりつぶす|火格子|火床|暖炉
teammate	チームメート
automaton	自動化|ロボット化
crux	最重要ポイント|最重要点|難問|なぞ
tropic	回帰線|熱帯の|熱帯地方の
perpetrator	加害者|犯人|下手人
macrophage	マクロファージ|白血球の一種|生体内をアメーバ様運動する食細胞|死んだ細胞や破片|体内に生じた変性物質や侵入した細菌などの異物を捕食し消化する
disqualify	無資格にする|資格を奪う|失格させる
amphibian	両生類(の)|水陸両用の|水陸両用飛行機･戦車|両生動物
grime	不潔
earphone	イヤホーン
taint	汚れ|汚点|汚名|病毒|汚れる|を汚す
pensioner	年金受給者
elector	選挙人|有権者
restock	(返品された商品を)在庫に戻す|仕入れ直す|新たに仕入れる|補充する
panelist	パネリスト|パネラー(和製英語)
nett	=net
incubate	熟考する|卵を抱く
bunt	(野球)バント|(punt平底小船|ラグビー等でボールが地に着く前に蹴ること|bunt野球のバント|band帯|楽団|bund海岸通り)
theorist	理論家
pacer	ペースメーカー
pollute	を汚染する|を汚す|を堕落させる|の神聖を汚す
segregate	分離する|差別する|隔離する|人種差別する
junky	麻薬患者|ジャンキー|中毒者|ナット
snore	いびきをかく|いびき|をぐうぐう寝て過す
captivate	の心を捕える|を魅惑する|人をうっとりさせる
environmentalist	環境問題研究家|環境保全主義者|環境保護論者
toiletry	洗面化粧品
ensue	続く|あとで起こる|あとに続く|結果として起こる
erratum	誤り|誤字|誤植|正誤表|(pl|errata)
ailment	(軽い)病気|不快
gape	裂け目|ひび割れ(る)
exalt	昇進させる|高める|賞賛する
sufferer	苦しむ人|被災者|病人
condiment	調味料|香辛料|薬味
irrigate	水を引く|潅漑(かんがい)する
funder	資金提供者
narrate	を順序だてて話す|物語る
awn	ノギ
millisecond	ミリ秒
condolence	悔み|哀悼|悔やみ
knocker	ノックする人|(また『doorknocker』)(玄関の)ノッカー|たたき金
mitochondrion	ミトコンドリア|(複数形)mitochondria
jeweller	玉屋|宝石細工人|宝石商|宝石商
louse	シラミ(複数形lice)
dicky	ぐらぐらする;(物事が)あぶなっかしい
astound	びっくり仰天させる
oiler	タンカー
lamentation	悲嘆|哀悼|哀歌
terrify	こわがらせる|を恐れさせる|をおびやかす
contrive	考案する|工夫する|設計する|もくろむ|策する
radioisotope	放射性同位元素
worshipper	崇拝者|礼拝者|参拝者|愛好家
anoint	(聖別のしるしに)(頭などに)聖油を塗る|(国王･司祭などを)聖別する|anoint a person king人を王に選ぶ|油を塗る|(化粧などのため)塗る|すり込む
superimpose	載せる|重ね合わせる
tweezer	ピンセット|毛抜き
amalgamate	(会社など)を合併する
enshrine	神殿に祭る|を祭る|安置する
goldfield	金鉱地|採金地
decouple	disconnect or separate; "uncouple the hounds"|disconnect or separate|regard as unconnected; "you must dissociate these two events!"; "decouple our foreign policy from ideology"|regard as unconnected|eliminate airborne shock waves from (an explosive)|eliminate airborne shock waves from (an explosive) |reduce or eliminate the coupling of (one circuit or part to another)|reduce or eliminate the coupling of (one circuit or part to another) 
tapa	the thin fibrous bark of the paper mulberry and Pipturus albidus|a paperlike cloth made in the South Pacific by pounding tapa bark
crony	旧友|親友
impregnate	にしみ込ませる|印象づける|浸込んだ
munition	軍需品(munitions)
decentralize	地方に分散させる
inoculate	(人･動物にワクチンなどを)接種する|予防接種をする
amortize	(無形固定資産などを)償却する
pixy	小妖精
entrench	(都市･陣地)ざんごうで囲む|揺るぎないものにする|を揺るぎないものにする
serviceman	軍人|修理員
blacken	黒くなる|汚す
teamster	トラック運転手
stressor	ストレス要因
ventilate	換気する|を空気にあてる|換気孔を設ける|通気を行う
gratify	満足させる|を喜ばせる
perplex	(〜で)〈物事〉‘を'『混乱させる』;〈人〉‘を'混乱させる|当惑させる《+『名』+『with』+『名』》
unbalance	の平衡を失わせる
excrete	排泄する|排出する
televise	テレビで放送(受像)する
pyjama	寝衣|パジャマ
immobilize	の流通を止める|固定する|固定資本化する|不動にする
disinterest	無関心|公平無私
hemorrhoid	痔(通例-s複数扱い) (=piles)
overtone	付帯的な意味|(思想･言葉など)含み|含蓄|(音楽)倍音
galvanize	電気治療する|急に刺激する|亜鉛メッキする
evacuee	避難者|疎開者
pharisee	パリサイ|パリサイ
enrage	ひどく怒らせる
festivity	祭典|お祭り騒ぎ
clench	くいしばる|こぶしを握り締める
intertwine	絡み合わせる|絡み合う
blooper	(野球)テキサスヒット
headwater	the source of a river; "the headwaters of the Nile"|the source of a river
coffer	貴重品箱|金庫|財源|金庫に納める|塞き止める
cutback	枝の刈り込み|切りかえし|縮小|削減|合理化
stooge	(喜劇役者の)引き立て役|ぼけ役|相手の言いなりになる人
adsorb	〈ガス・液体など〉'を'吸着する
mope	ふさぎ込む|落ち込む|意気消沈する
besiege	包囲攻撃する|包囲する|殺到する|悩ませる
parishioner	教区民
docker	ドック作業員
cere	蝋膜(ろうまく)|ろうびき布で包む
boilermaker	ボイラー製造企業
kidnapper	誘拐犯
disillusion	幻滅
choreograph	(バレエの)振付けをする
ilium	腸骨|腸骨
aborigine	原住民;《通例複数形で》土着の動物(植物)
endear	慕わせる|いとしく思わせる
contraindication	禁忌
decommission	退役させる|閉じる
prorate	〈出費など〉‘を'比例配分する|割り当てる
convulsion	ひきつけ|けいれん(cramp)|動乱|激動
bookend	ブックエンド|本立て
stratify	層(状)にする|階層ごとに分ける|階層化する
multitask	マルチタスク|複数処理の
misspell	綴り違いをする|のつづりを誤る
undervalue	過小評価する|価値を減少させる|軽視する
anneal	(鋼･ガラスなどを)焼き戻す|なます|(精神を)鍛える
extrude	(チューブから)〈歯磨きなど〉‘を'押し出す《+『名』+『from』+『名』》|〈プラスチック・金属など〉‘を'型から押し出して成形する
inundate	水浸しにする|氾濫させる|充満させる
outtake	技術上のミスなどの理由でフィルムやテープから削られた部分|引用(文)|抜粋
