diathermy	透熱療法(高周波の電流を利用した治療法)
blowup	爆発|《話》かっとなること|(写真の)引き伸ばし
medalist	メダリスト|メダル獲得者|メダル製作家
scrivener	(昔の)代書人;筆耕者|書記
timothy	(植物)オオアワガエリ|売春宿
jocund	陽気な|快活な|楽しそうな(cheerful|gay)
pombe	シゾサッカロミセスSchizosaccharomyces pombe|ビール(pombe|スワヒリ語の雑穀ビール)から単離された最初の分裂酵母|(Schizoは分裂|cf|精神分裂病Schizophrenia)
protuberant	突き出した|隆起した
juju	(西アフリカ原住民の)お守り|まじない|魔よけ
barkeeper	バーの経営者|バーテン
coital	性交の|交接の
decaffeinate	〈コーヒー〉‘から'カフェインを取り除く
spokeswoman	spokesmanの女性形
integrase	インテグラーゼ|ウイルスDNAを細胞染色体につなぎ合わせる酵素
veracious	(人が)真実を語る|正直な|(話などが)正確な|ほんとうの
bibliographer	書誌学者
ionize	イオン化する|電離する
foeman	敵|敵兵
aperitif	食前酒
spender	金を使う人|浪費家
hod	ホッド(長い柄がついた木製の容器でれんが・しっくいを入れ肩にかついで運ぶ)|石炭入れ
leafhopper	ヨコバイ(植物の液汁を吸う害虫)
sconce	(壁などの)突き出し燭台(しょくだい)
silicosis	珪(けい)肺症|珪粉症(石工などがケイ酸の微粒子を吸い込むことによって起こる肺の病気)
papist	(新教徒側から軽べつして)カトリック教徒
contrariwise	これに反して|(順序・方向などが)板対に|逆に|《話》ひねくれて|意地悪く
rudderless	かじ(方向舵)の無い|導くものの無い
shh	シーッ|しゃべるな
umbra	本影(日食・月食で太陽光線がさえぎられてできる地球または月の影の部分)|(一般に)影がかかった部分|影
pompom	ポンポン(帽子などの飾りにするリボン・玉ふさ)
agonize	苦しむ|悶える|苦闘する|苦しめる
florin	(英国の)フロリン銀貨
clincher	決定的な決め手|理由
nastily	不快に|意地悪く|みだらに
needlepoint	ニードルポイント
peregrination	旅行|遍歴
sloppiness	だらしなさ|乱雑;いいかげんさ
conveyancing	財産譲渡に関する法律
shutout	締め出し
turncoat	変節者|裏切り者
amphibole	角閃(かくせん)石(カルシウム・マグネシウムを含む石)
aforethought	(名詞の後で)あらかじめ考えた|計画的な|故意の
parting	分かれの|別離|別れ(の)|分離(する)|分割
somnambulism	=sleepwalking
transonic	(また transsonic)音速に近い|音速前後の
viviparous	(動物が)胎性の
snowboard	スノーボード
mummification	ミイラ化
snaffle	(馬の)はみ|小勒(しょうろく)|〜‘を'盗む|かっぱらう
ploidy	倍数性
disbar	〜‘の'弁護士の資格をはく奪する
heathenish	異教徒の|野蛮な
valedictory	告別の辞|告別演説|別れの言葉|告別の|別れの
homeobox	ホメオボックス|動物|植物|菌類の発生の調節に関連する相同性の高いDNA塩基配列
lapdog	小さな愛玩犬|吠え声ばかり大きい無力な人|盲信者|心酔者
chutzpah	(ひどい)厚かましさ|鉄面皮
drizzly	霧雨の[降る]
magnifier	虫めがね|拡大鏡|物事を誇張する人
braggadocio	自慢家|傲慢|生意気
lapidary	宝石|宝石細工の|玉彫りの|玉みがきの
nimbleness	すばやさ|敏しょう
revetment	(石やれんがの)擁壁(ようへき)|(特に)護岸舗装
contortion	ねじれ|ゆがみ|歪曲|こじつけ
dishwater	食器を洗った後の汚水
chenille	シュニール|シュニール糸|シュニール織物|(芋虫から紡いだ毛虫糸)
doorpost	=doorjamb
psalmody	〈U〉聖歌吟唱[法]|〈C〉(符面つきの)聖歌集|賛美歌集
adventurism	(政治･外交面での)冒険主義
eukaryote	真核生物(=eucaryote)|動物|植物|菌類|原生生物など|身体を構成する細胞の中に細胞核を有する生物|真核生物以外の生物は原核生物(prokaryote)と呼ばれる
excrescence	(動植物にできる)異常成長物(いぼ・まめ・こぶなど)|よけいなもの|無用の長物
ick	嫌なもの
monomania	偏執狂|モノマニア|凝り固まり|熱狂
tokenism	(特に人種差別廃止における)名目主義
teletype	teletypewriterの商標名|テレタイプ社|テレタイプで送る
saltpeter	硝石(肥料や爆発物として用いられる)|Chile saltpeterチリ硝石
giddily	めまいがして|目が回って|軽薄に|うわついて
meretricious	(装飾･文体など)俗悪な|けばけばしい
payphone	公衆電話(特に硬貨を入れて作動する)
resoluteness	決心の固さ
dishcloth	《米》(またdishrag)皿洗い用ふきん|《英》皿洗いまたは皿ふき用ふきん
propitiatory	和解の|なだめる;きげん取りの
spreadable	広げられる|容易に広がる
sheathe	〈刃物など〉‘を'さやに納める|(保護物で)〈物〉‘を'おおう|包む《+『名』+『with』(『in』)+『名』》
arboretum	植物園|樹木園|森林公園
recrudescence	(病気･犯罪などの)再発|ぶり返し|再燃
sitar	シタール|インドの弦楽器
grouch	不機嫌(になる)|不平を言う
gah	がーん
internode	節間(植物の茎などの節(ふし)と節の間の部分)
joyfulness	うれしさ
fustian	ファスチアン(昔のじょうぶなあや織り綿(麻)布)|《軽べつして》大げさな言葉|大言壮語
dilly	特に目立つもの|優れたもの
inveigh	激しく抗議する|しきりと苦情を述べる|痛烈に非難する|ののしる
stein	スタイン(陶器製のビール用ジョッキ)|ジョッキ1杯の量
unprompted	(特に言動が)自発的な|自由意志の
mitogenic	分裂促進
dizygotic	二卵性の
prorate	〈出費など〉‘を'比例配分する|割り当てる
reefer	マリファナ|マリファナタバコ|(鉄道の)冷凍車|冷蔵トラック|冷蔵船|リーファー(丈夫な通例青い布製のダブルの上着)
diatomite	珪藻土
exploiter	(人・物などを)利用する人|搾取者;開発者
bellhop	=bellboy
infrequency	まれなこと
regnal	王の|王権の;(〜の)治世(御代)の
limerick	リメリック|五行戯詩
commenter	評者
blowtorch	トーチランプ
exordium	(演説・論文などの)導入部|前置き
orthodontist	歯科矯正士
pillion	(馬に同乗する人の)添え鞍|(オートバイなどの)後部座席
sparseness	=sparsity
sashay	すべるように(軽々と)動く(進む)|さっさと歩く
stovepipe	ストーブの煙突
doff	(古)(帽子･上着などを)脱ぐ
dinky	小さい|取るに足らない
doubter	疑い深い人|不信を抱く人
flan	フラン(チーズ･クリーム･果実などを詰めたtartの類の菓子･スペイン料理では甘味をつけたエッグカスタードをいう)
impost	税;関税|輸入税|せりもと(建物のアーチが壁・柱の上から伸びて行く起点)
ahh	ああ
impeachable	弾劾すべき
spitfire	スピットファイアー|火を吐くもの|癇癪持ち
wiggly	波状の
causeless	原因のない;理由のない|いわれのない
fountainhead	水源|《通例単数形で》(情報・霊感などの)源泉《+『of』+『名』》
groat	グロート|4ペニーの価値の旧英国の銀貨|わずかな金銭|少し
epicure	飲食に対する洗練された感覚の持ち主|美食家|食通
hardtack	堅パン|乾パン
begrime	(あか・すすなどで)〜'を'汚す|汚くする《+『with』+『名』》
caftan	カフタン|カフタン風のドレス|長袖で丈の長いゆったりした部屋着
entomological	昆虫学の
saintliness	(聖人のような)気高さ|こうごうしさ
hymnody	賛美歌の吟唱(作曲)|《集合的に》賛美歌|聖歌
unschooled	教育(訓練)を受けていない|無学の
polygamist	一夫多妻者|一妻多夫者
intertribal	種族間の|部族間の
romanticist	(文学・絵画・音楽などの)ロマン主義者
outfitter	装身具製造業者
galena	ガレナ|方鉛鉱(PbS|硫化鉛)
halfback	中衛|ハーフバック
ulster	(通例ベルト付きの)防寒用長コート
castellan	城主|城代|城守
shoehorn	靴べら|詰め込む|押し込む|(何かにフィットするように)合わせる
roil	(液体を)かき乱す|濁す|心をかき乱す|混乱させる
duopoly	複占 
drat	ちぇっ!|ちくしょう!|いまいましい!|呪う
nubile	年ごろで性的魅力のある|(女性が)結婚適齢期の
prudery	淑女ぶり
shea	shea butterシアバター|(アカテツ科のシアーバターノキ)|(その種子の胚から得られる植物性脂肪がシアバター)|(Shear刈る|は別語)
overindulge	〈人〉‘を'甘やかし過ぎる|〜‘に'耽溺(たんでき)する|わがままにし過ぎる
forebear	祖先
homogenate	ホモジネート|細胞小器官や構成要素や化学的組成を調べるため機械的に細胞破砕し|生体内の状態のまま均一な分画を得る手法(細胞分画法)
curmudgeon	意地の悪い人|けちな人
suspiciousness	疑惑|不審
vituperative	ののしりの|痛烈な|毒舌を振るう
petrel	ウミツバメ
covey	(母鳥と群居する)一群
creditably	みごとに
unclench	〈堅く締めたもの〉‘を'開く|開く
jujube	ナツメ[の実または木]|ナツメ形のゼリー菓子
turnabout	方向転換|(思想･政策)転向|裏切り|変節
masticate	噛む|(形式ばった表現で|chewの方が圧倒的|biteは噛む|噛み付く|食べる|動物が噛む)
summons	召喚する|呼び出し|出頭命令|召喚
opprobrious	(行為が)不名誉な|(言葉が)侮べつ的な|口ぎたない
incomprehensibly	不可解にも
cursorily	苦労することなく|ざっと|＜cursory(急ぎの|ざっと)
riderless	(馬などが)乗り手のない
peeve	をいらだたせる|じらす
cote	(羊･ハトの)小屋
kirtle	カートル|(中世に用いられた)婦人服|男子用の短い上着
nonsectarian	特定の宗派に属さない|無宗派の
prolifically	多産して|豊富に
crotchety	気まぐれな|偏屈な
vail	(尊敬・服従を表して)〈頭・目など〉‘を'下げる|おじぎする
extenuation	(罪などの)情状酌量
imbroglio	複雑な筋|もつれ|紛糾|ごたごた
parapsychology	超心理学(テレパシー・精神感応術などの研究部門)
mecha	メカ(mechanism|mechanicalの略語)
burgle	夜盗する
tomfoolery	ばかなまね
pyrrolidone	ピロリドン|一般的な有機溶媒で無色の液体|インクジェットカートリッジ等に使用
moralize	道徳を論じる
bisect	二分する|二等分する
purdah	(特にイスラム教国で)婦人を人目に触れぬようにする慣習
laughably	ばかばかしいほど
bloomer	ブルーマー|19世紀後半に流行した短いスカートの下にはく袋のように足首のところですぼめた女性用のズボン
primetime	ゴールデンアワー
pessary	ペッサリー(避妊用子宮せん);腟(ちつ)挿入座薬
plateful	(食物の)皿1杯分|1皿分《+『of』+『名』》
wayfaring	旅をして歩く|徒歩旅行の
brainwash	洗脳
cus	お客さま
mouthy	おしゃべりの|声高な|大言壮語する
groundskeeper	グラウンドの管理人
pushup	腕立て伏せ
perambulator	(また『pram』)《英》=baby carriage|巡視者
capably	りっぱに|うまく
cheroot	両切り葉巻きたばこ
majordomo	(昔のスペインやイタリヤの貴族・王家などの)召使頭|執事
untidiness	だらしないこと;無精;乱雑
troglodyte	穴居人|隠者|世事にうとい人
goatherd	ヤギ飼い
ilex	ウバメガシ(常緑のカシの一つ)|西洋ヒイラギ
assemblyman	工場の組立作業員|議員
cowbell	牛鈴(牛のいる場所がわかるように牛の首につるした鈴)
brushy	ブラシのような|やぶの茂った
hector	いばりちらす|どなる人|からいばり屋
donjon	(昔の城の)天守閣
rinderpest	牛疫|牛ペスト(家畜の伝染病)
pustule	膿疱(のうほう)(うみ(pus)をもったできもの)
cottony	綿の;綿のような
autoradiography	オートラジオグラフィー(放射線写真法)|放射性物質のベータ線やガンマ線で画像(autoradiograph)を作る手法|放射性物質はreceptor(受容体)や酵素や核酸に結合する
hammerhead	シュモクザメ(頭部がハンマーの頭に似ている)
congruous	=congruent
inharmonious	(音が)不調和の|不協和の|感情(気持ち)が合わない|しっくりしない
molester	いたずらをする人|痴漢|悩ます人
greave	すねあて
tyke	のら犬|下劣な奴|雑犬|子供|(俗)ガキ
atavism	隔世遺伝|先祖返り
fatalist	運命論者|宿命論者
shebang	当面の事情|仕組み
hotheaded	向こう見ずの|せっかちな|怒りっぽい
geld	去勢する|弱らせる
passably	まずまず;かなりよく
niggle	めんどうな
corm	球茎
impenitent	悔い改めない|改心しない;がん迷な
trochaic	(詩の韻律で)強弱格の|長短格の
gnash	歯ぎしり(する)
engram	エングラム(経験によって生ずる神経系細胞内の構造別化)|(記憶の)痕跡|印象
corpuscle	(血液|リンパ液中の)小球|血球|微粒子
barracuda	バラクーダ(カマスpikeの一種|魚の名)|容赦ない略奪者
woebegone	憂いに満ちた|悲しみに沈んだ
anabolism	(生物の)同化作用
hauberk	(中世の戦士の)鎖かたびら
irremediably	取り返しのつかないほどに
broody	(brúːdi)巣につきたがっている(a broody hen)|むっつり考え込んだ|不機嫌な
overexpose	〈フィルムなど〉‘を'露出過度にする|(太陽・寒さなどに)〜‘を'さらしすぎる
snowbank	雪の吹きだまり
agronomist	農学者
procurable	入手(取得)できる
idolater	偶像崇拝者|(一般に)崇拝者|心酔者
scrofula	るいれき(結核菌により首のリンパ腺がはれる病気)
unshackle	〜‘を'かせをはずす;〜‘を'解放する
athletically	競技的に|運動家らしく
bosh	《おもに英俗》ばかげたこと|たわごと|ばかな|くだらない
corse	=corpse
escapement	(時計の) 脱進機 《調速機構》|逃がし止め|(タイプライターの)文字送り装置|(ピアノのハンマーをもとの位置にもどす)休止装置
stripy	筋(しま)のある
hustings	演説台
straggler	落後者|stray(迷う)とdraggle(引きずる)の混成
manipulable	操作できる|あやつることができる
outerwear	上着
veritably	ほんとうに|真に
doyen	(団体などの)古参者|長老|大御所
hyperthermic	温熱
bisque	貝類･鳥肉･野菜のクリームスープ|2木の実のはいったアイスクリーム
sharecropper	小作人
athirst	(〜を)渇望して(eager)《+『for』+『名』》|《おもに詩》のどがかわいて(thirsty)
backstabbing	陰で中傷する行為
dawg	仲の良い友達
bookend	ブックエンド|本立て
unpopulated	居住者のいない|人の住んでいない
unlinked	連結されていない
ashlar	切り石(四角に切った建材用の石)|切り石積み(仕上げ)
hemostat	〈U〉止血剤|〈C〉(手術用の)止血鉗子(しけつかんし)
collegium	(各員が平等の地位と権力を持つ)支配者集団|(特にかつての)旧ソ連人民委員会
livelong	長々しい
machinegun	機関銃の|〜‘を'機械掃射する|機関銃(砲)
crabapple	野生のりんご
coaxingly	なだめすかして
pimply	にきびのできた|吹き出物だらけの|にきびだらけの
panelist	パネリスト|パネラー(和製英語)
cocker	甘やかす|大事にする
congeries	(物・思考の)集まり|集積
rumba	(スペイン語)ルンバ|キューバの民族舞踊音楽
motorcyclist	オートバイ乗り
paediatrics	=pediatrics
underclothing	=underclothes
wastrel	浪費家;怠け者
feeler	触手|さわってみる人|触知者|探り|打診|(動物の)触角
metazoan	後生動物(Metazoa)の|後生動物は|動物分類学で動物扱いだった単細胞生物の原生動物に対し|多細胞の動物をまとめた呼び名として使用された
homeliness	質素|素朴|不器量
recessionary	退却(撤退)の|景気後退の|(宗教儀式で)退場の
wheelwright	(特に昔の)車大工|車輪製造(修理)人
mortician	葬儀屋
backless	背部(裏張り)のない|(衣服が)背中があいている
giggly	クスクス笑う
wording	言葉で言い表す|言い回し
demurrer	異議申し立て人|抗弁人|(裁判で)妨訴抗弁
amuck	アモク 《急に興奮して殺人を犯す精神障害; 元来マレー人特有のものとされた》|殺気立って[た]; 怒り狂って[た].
knitwear	ニットウエア
gabbro	斑糲(はんれい)岩(粒状の火成岩の一種)
kohlrabi	カブラタマナ;キャベツの一種
nonattainment	未達成
salable	売り易い
epididymal	精巣上体の
hydrous	水を含む;(鉱物・化合物が)含水の
tizzy	興奮;身震い
hollyhock	タチアオイ
concision	簡潔
icehouse	氷室|貯氷庫
bombardier	爆撃手
libelous	名誉毀損の|中傷的な
lumpectomy	腫瘍摘出手術|乳腺腫瘤摘出
manageability	扱いやすいこと|処理しやすいこと
nonaggression	不侵略
carouse	痛飲する|飲み騒ぐ|飲みほす
molder	腐る|崩壊する(away)|朽ち衰える|型を作る人
hullabaloo	がやがや|騷々しさ|騷ぎ|騒ぎ|ごった返し
monotheist	一神論者|一神教信者|一神論者の|一神教信者の
overawe	〜‘を'威圧する|怖がらせる
woodchuck	(北米産)マーモット
clubfoot	内反足|えび足|〈U〉内反足である状態
vindictively	執念深く|意地悪く
yada	yada|yada|yada等と使う|等々|の意味|"blah blah blah"や"and so on"と同じ使い方(スラング) (=yadda)
bunion	腱膜瘤(足の親指の内側にできるはれ物)
prohibitory	=prohibitive
illusionist	幻想家|迷妄論者|奇術師|手品師
virulently	敵意(憎悪)に満ちて|激しく
indirectness	間接的なこと|遠回しなこと
latchkey	(玄関・門などの)掛け金のかぎ
sycophantic	おべっか使いの|ごますりの
reduplicate	‘を'倍加する;反復する|繰返す(repeat)
sepal	がく片
hoarding	貯蔵
intaglio	〈U〉沈み彫り|〈C〉沈み彫り模様;沈み彫りした物
horsewhip	馬を打つむち|〈馬〉‘を'むちで打つ;〈人〉‘を'激しく打つ
ichor	イコル(ギリシア神話で神の体中を流れているとされる霊液)
raffia	〈U〉ラフィア(ラフィアヤシの葉の強い繊維;帽子・かごなどを作る)|〈C〉ラフィアヤシ(raffia palm)
tangibility	触知できること;明白|確実
solarium	(病院・療養所などの)日光浴室|サンルーム
krona	(複‐nor)クローナ(スウェーデンの貨幣単位)|(複‐nur)クローナ(アイスランドの貨幣単位)
cabriolet	1頭立て2人乗りほろ馬車
verger	聖堂番 《教会堂の掃除をしたり礼拝者を座席に案内する》《英》 (大聖堂・大学などで主教・副総長などを先導する)権標捧持者
dhoti	ドーティ(インドの男子が着用する腰布)
appositive	同格の(語･句･節)
colicky	激しい腹痛の
immovably	動かないで|確固として
soja	大豆
bosun	=boatswain
jokey	愉快な|面白い|お調子者の
oakum	まいはだ(古い麻なわをほぐしたもの;船板のすき間に詰める)
absurdist	不条理主義の|不条理主義者(作家)
rascality	〈U〉卑劣|〈C〉卑劣な行為|悪事
squiggly	よじれた|くねくね曲がった
workpeople	[工場]労働者|工員
outre	常軌を逸した
cepacia	地中等に住む環境細菌
failsafe	絶対に安全な|二重安全装置の
rheometer	流量計;(特に血液の流れを計る)血流計
unemployable	(年齢・欠陥などで)雇えない|雇用できない
defeatism	敗北主義
huffy	むっとしている|怒っている
valance	(窓の上部･寝台の周囲などの短い)たれ布
shindig	にぎやかな社交の集まり|(陽気な)パーティー|宴会|舞踏会
inconsequent	論理的でない|矛盾した
cytarabine	シタラビン|抗がん剤の一種|商品名キロサイド(Cylocide)|核酸の誘導体である
manumit	(特に古代ローマで)〈人〉‘を'奴隷(農奴)から解放する
sweepstake	=sweepstakes
bounder	育ちの悪いがさつ者|下品な成り上がり者
wc	水洗便所|water closet
oarsman	(ボートの)こぎ手
blinker	《おもに英》=blinder|《米》(通信・警告信号・自動車が曲がる予告などの)明滅灯(《英》winder)
unsaddle	〈馬〉‘から'鞍(くら)をはずす|〈人〉‘を'落馬させる
swank	見せびらかし
gunmetal	ガンメタル(鎖・ファスナーなどに用いる銅・すず・鉛・亜鉛から成る金属)|(また gunmetal gray)砲金色(青味がかった暗灰色)
trotter	速足で歩む人|人の足
battlefront	戦線
darksome	うす暗い|陰気な
brigandage	山賊行為|略奪
hardboiled	(卵など)堅ゆでの|(人が)非情な|冷酷な;(物の見方などが)現実的な|ちゃっかりした;(文学の作風が)非情派の|ハードボイル派の
southwesterly	南西の|南西へ向かう|(風が)南西からの|南西へ(に)|(風が)南西から
schnitzel	シュニッツェル(ドイツ料理で子牛肉のカツレツ)
whitecap	=white horse
semifinal	準決勝の|準決勝(戦)
backstreet	バックストリート
unionize	労働組合を組織する|労働組合に加入する|を合体させる|統一する
indrawn	(息など)吸いこんだ
simpleminded	お人よしの|だまされやすい|愚かな;精神薄弱の
cryostat	低温保持装置
misquote	誤って引用する
misspend	使い方を誤る
uhm	えー|あの|その
mailer	メーラー|メールソフト
hyperosmolar	高浸透圧性
mannish	おとなっぽい
guerdon	報い|報賞
straggle	ばらばらに広がる|散在する|列などからはぐれる|落伍する|締まりがない
creaminess	クリーム状(クリーム色)であること
messily	取り散らかして|ごたごたと
noone	誰も
roguery	悪事|詐欺(fraud)|いたずら|茶目|悪ふざけ(mischief)
collaborationist	敵に協力する人|敵に協力的な
fissionable	(原子が)核分裂を起こす|核分裂性の
supercargo	〈C〉船荷監督
theretofore	それ以前に
admonitory	忠告の|説諭の|勧告的な|警告の|訓戒の
mender	修理(改良)者
pastrami	パストラミ|香辛料で調味した肉の燻製食品
grebe	カイツブリ(尾のない水鳥)
bellboy	ベルボーイ(呼びりんに応じて荷物運びや使い走りをするホテル・クラブのボーイ;《米》bellhop)
beheading	断頭
vinous	ぶどう酒の[ような];ぶどう酒に酔った|ワインレッド色の
wouldn	wouldn't
waxwork	ろう細工;ろう人形|《複数形で》《単数扱い》(特に有名人の)ろう人形博物館
chartreuse	シャトルトルーズ(薄黄緑色のリキュール酒)薄い黄緑色|薄い黄緑色の
daylong	終日|一日中
palindrome	回文(前から読んでも後ろから読んでも同じ語|例|Madam|I'm Adam|)
disconcert	(人)の落ちつきを失わせる|当惑させる|混乱させる|くつがえす|(計画など)の裏をかく
ramify	〜‘を'枝のように分ける;〜‘を'網の目のように広げる|枝のように分かれる;網の目のように広がる
ballgame	野球の試合
libidinous	好色な|肉欲的な|扇情的な
chervil	チャービル(セリ科の植物;芳香があり葉はスープ・サラダ用)
alot	たくさん
penetrable	貫ける;浸透できる;見抜ける;(〜を)貫く|(〜に)しみ込む《+『to』+『名』》
sleaze	やすっぽいこと|低俗
sycophant	追従者
bogy	おばけ|幽霊|人の悩ますもの|人につきまとうもの
sidetrack	〈人|人の話など〉‘を'わき道にそらす|〈列車〉‘を'側線に入れる|わき道|(鉄道の)側線|待避線
roundel	(おもに石や木などに刻まれた装飾用の)小さな円形|円形紋様
wolfhound	ウルフハウンド(大型の猟犬で昔オオカミ狩りに用いた)
fogey	=forgy
balsa	〈U〉バルサ材(軽く強いので|救命用具・いかだ・模型飛行機などに用いる)|〈C〉バルサの木(熱帯アメリカ産)
snakeskin	ヘビの皮|ヘビ革
acanthus	アカンサス|ハアザミの類|(柱頭の)アカンサス葉飾り
playact	ふりをする|見せかける|劇に出る
abscission	切除|切断;分離|離脱
leastways	=leastwise
univalent	一価の|(a univalent chromosome一価染色体|1価の酸は1分子中に放出できる水素イオンHを1個持ち|1価の塩基は水酸化イオンOH-を1個持つ)
hummock	小さい丘(knoll)|(氷原の)氷の丘
carminative	胃腸内のガスを排出する|駆風剤
