peripatetic,歩き回る|巡回の
snivel,すすり泣く|鼻をすする
calmodulin,カルモジュリン（タンパク質）
sidewise,横に|斜めに
yttrium,イットリウム（元素）
lampoon,風刺する|風刺文
collard,ケールに似た葉野菜
yearling,1歳の動物
gibe,あざけり|嘲笑
sinter,焼結する|焼結物
teeter,よろめく|揺れる
dhow,ダウ船（アラブの伝統的帆船）
painkiller,鎮痛剤
ohm,オーム（電気抵抗の単位）
holdup,強盗|遅延
slutty,だらしない|下品な
marten,イタチ科の動物
sampler,見本|サンプラー（刺繍）
gabled,切妻屋根の
malediction,悪口|呪いの言葉
coeval,同時代の
heavyset,がっしりした体格の
wiper,ワイパー
sobriquet,あだ名|ニックネーム
sextant,六分儀
rick,干し草の山|積みわら
exigent,緊急の|差し迫った
wintertime,冬季
checkmate,チェックメイト|詰み
