sceptic	=skeptic
neurobiological	with respect to neurobiology; "explain the phenomenon neurobiologically"|with respect to neurobiology|of or relating to the biological study of the nervous system
retinoid	(生化学)レチノイド(=ビタミンA) 2|網膜(retina)状の
indignantly	憤然として|腹を立てて
bucolic	羊飼いの|牧歌的な|田園生活の|田舎風の|(rural)
patter	むだ話|パラパラと降る|パタパタと歩く(走る)|パラパラという音
pentobarbital	ペントバルビタール
disaffection	(政府などへの)不満|不平|離反
utu	sun god; counterpart of Akkadian Shamash|sun god|counterpart of Akkadian Shamash
flocculation	綿状沈殿
redoubt	(小さな応急の)とりで|要塞
fetishist	呪物崇拝者
unaddressed	not addressed; "an unaddressed envelope"|not addressed
semicircle	半円(形の物)
decouple	disconnect or separate; "uncouple the hounds"|disconnect or separate|regard as unconnected; "you must dissociate these two events!"; "decouple our foreign policy from ideology"|regard as unconnected|eliminate airborne shock waves from (an explosive)|eliminate airborne shock waves from (an explosive) |reduce or eliminate the coupling of (one circuit or part to another)|reduce or eliminate the coupling of (one circuit or part to another) 
blessedness	至福|幸い
grackle	ムクドリの類
tailwind	追い風
apotheosis	(人を)神に祭ること|神格化|神聖視|崇拝|理想|極致|究極の姿
imbroglio	複雑な筋|もつれ|紛糾|ごたごた
absorbency	吸湿性|吸収能|吸収性
microclimate	微気候
gruyere	Swiss cheese with small holes
interdenominational	諸宗派間の|諸宗派共通の
librium	クロルジアゼポキシド
neurogenesis	the development of nerve tissues
tigress	雌トラ
trudge	とぼとぼ歩く|てくてく歩く|重い足取り(で歩く)
unlabelled	ノーブランドの|ラベルのない
prepositional	前置詞の|前置詞を含む
hydroxyzine	ヒドロキシジン
tenormin	アテノロール
intracerebral	脳内
tribology	トライボロジー
subphylum	亜門
mullion	窓の縦仕切り|窓の仕切り|縦仕切り|(反|transom|窓の横仕切り|横棒)
chlorhexidine	クロルヘキシジン
authoritatively	儼として|いかめしく|権威を持って
schipperke	breed of small stocky black dogs originally used as watchdogs on boats in the Netherlands and Belgium
derogate	《『derogate from』+『名』》《文》(権威・名声などを)傷つける|落とす
comber	(綿・羊毛などを)すく人|すき手;すき機|寄せてくる波
muzzleloader	(銃口から装てんする)前込め砲|前装砲
unpleasantness	不快感
collectivist	左翼
jirga	a Pashto term for a decision making assembly of male elders; "most criminal cases are handled by a tribal Jirga rather than by laws or police"|a Pashto term for a decision making assembly of male elders
pickerel	flesh of young or small pike|any of several North American species of small pike
streaker	ストリーカー(裸でキャンパスや大通りを突っ走る人)
postprandial	食後の|正餐(せいさん)後の
sargasso	brown algae with rounded bladders forming dense floating masses in tropical Atlantic waters as in the Sargasso Sea
gyp	詐欺師|だます(cheat)
cleaning	掃除|洗濯|クリーニング|(俗)(ゲームなどの)大敗|惨敗|経済上の大損|丸損
dhow	ダウ船(アラビアの帆船)
townsfolk	市民
abuzz	ざわめき立って
thinness	希薄|細さ|薄弱|貧弱
ramshackle	ぐらぐらする
alkyd	アルキド樹脂
dullness	濁音
reveler	酒盛りする人|飲み騷ぐ人
heliotrope	〈C〉ヘリオトローブ(ムラサキ科の多年草;花は香気が高く香水の原料となる)|〈U〉赤味がかった簿紫色の
tagamet	シメチジン
aquiline	ワシの|ワシのくちばしのような
hatchling	any recently hatched animal (especially birds)
mystify	神秘化する|煙に巻く
uncouth	無骨な|不器用な|野暮な|未知の|洗練されていない
jazzman	ジャズマン|ジャズ音楽家
captaincy	captainの地位(職)
relict	残存生物(過去の環境のなごりである動植物)|《古》未亡人|寡婦(かふ)|なごりの|残存の|遺物の
timolol	チモロール
ramie	〈C〉カラムシ(アジア産の低木で織物用の繊維が採れる)|〈U〉カラムシの繊維
glutaraldehyde	グルタルアルデヒド|有機化合物でアルデヒドの一種|殺菌消毒薬
lycopersicon	tomatoes
turtledove	キジバト
shorthanded	人手(人手)不足の
photocell	=photoelectric cell
crossly	ふきげんに|むっとして;すねて|逆に|不利に|横に|斜めに
supplicant	嘆願者|哀願者
pyroxene	輝石
catechist	教義問答師|問答式教義
bodacious	横風|破廉恥|靦然たる|ずうずうしい|いけ図図しい|僭上|憎々しい|驕傲|不遜|野面皮
anaglyph	moving or still pictures in contrasting colors that appear three-dimensional when superimposed|anything carved in low relief
incumbency	義務があること|義務|聖職禄所有者(incumbent)の役目(任期)
renege	約束を破る
tropopause	圏界面(対流圏と成層圏との境界の大気層)　対流圏界面
curvaceous	(女性が)曲線美の|セックスアピールのある
apprise	に通知する|知らせる|通告する
individualize	に個性を与える
exponentiation	対合|べき乗
lank	ひょろ長い|(毛髪が)だらんと生気なく垂れた
ergot	麦角(ばっかく)病(麦角菌によるライ麦など穀物の病気)|麦角(止血剤・子宮収縮剤用)
baculovirus	バキュロウイルス|昆虫や甲殻類などの節足動物の病原ウイルス
zealously	熱心に|熱狂的に
pneumonitis	inflammation of the lungs; caused by a virus or an allergic reaction|inflammation of the lungs|caused by a virus or an allergic reaction
bivouac	野営地|ビバーク
midair	空中(の)
dowager	貴族未亡人|王侯の未亡人|(口)威厳のある年配の婦人
ribozyme	リボザイム|リボ核酸 (RNA)の一種で|触媒としてはたらく酵素の名
housemaid	家政婦|手伝い|女中
bisection	二つに分けること;2等分
workability	可動性;実行可能でありそうなこと;実用性
papain	パパイン
trivalent	(原子価が)3価の
olla	leaf or strip from a leaf of the talipot palm used in India for writing paper
eglise	教会のフランス語|église
sentience	直観|感覚性|知覚力
dioxygenase	ジオキシゲナーゼ|二原子酸素添加酵素
impetigo	飛び火
cuvier	キュビエ
misclassification	誤判別
glyburide	グリブリド
cravat	ネクタイ|(首の前で結ぶ)スカーフ
unimpaired	not damaged or diminished in any respect; "his speech remained unimpaired"|not damaged or diminished in any respect
corporatism	control of a state or organization by large interest groups; "individualism is in danger of being swamped by a kind of corporatism"|control of a state or organization by large interest groups
bindweed	ヒルガオの類の植物
resample	リサンプル
heedless	無頓着な
rancor	恨み|悪意|怨恨
transcultural	extending through all human cultures; "a transcultural ideal of freedom embracing all the peoples of the world"|extending through all human cultures
cere	蝋膜(ろうまく)|ろうびき布で包む
agon	a festivity in ancient Greece at which competitors contended for prizes
providential	神慮の|神意による|神の助けのような|幸運な(lucky)
carload	(〜の)貨車1両分の貨物《+『of』+『名』》
boilermaker	ボイラー製造企業
hollandaise	eggs and butter with lemon juice
daresay	《『daresay+that節』》〜であるとあえて言う|疑いのない|たぶんそうだ(dare say)
liberality	〈U〉寛大;偏見のないこと|〈U〉気前のよさ|《複数形で》《文》気前のよい贈り物|施し
passiflora	type genus of the Passifloraceae
toolshed	木屋
ossification	骨化(した組織)|(感情などの)無感覚化
unthinking	考えのない|軽率な|思考力のない|気がつかない
cresol	クレゾール
impale	突き刺す|刺し貫く
dimorphism	二形性(同種の生物が異形態をもつこと)
mottle	《受動態で》〜‘を'まだらにする|ぶちにする|ぶち|まだら|斑(はんてん)
speechwriter	スピーチライター
xylose	木糖|キシロース
legalisation	合法化
inestimable	測りしれないほど大きい(貴重な)|(非常に貴重で)評価できない
pyridoxal	ビタミンＢ６|ピリドキサール
chlamydial	of or pertaining to the sexually transmitted infection or to the parasite
microsecond	マイクロ秒(1秒の100万分の1)
earlobe	耳たぶ
malinois	fawn-colored short-haired sheepdog
turnstile	回転ドア
inductee	徴募兵
quadrennial	4年ごとの|4年間続く|4年の期間|4年ごとの行事
seismograph	地震計
folktale	伝説物語|民間説話|民話
gutless	意気地(根性)のない
desipramine	デシプラミン
scriptorium	a room in a monastery that is set aside for writing or copying manuscripts
enbrel	エンブレル|エタネルセプト
odorant	着臭剤
ignoble	下品な|生まれの卑しい|見さげはてた
otoscope	耳鏡
jeroboam	ジェロボーアム(3リットル入りのワインびん)
doppelganger	二重身
timidly	おくびょうに|びくびく(おどおど)して
greyish	=grayish
imitative	模倣の|真似好きの|擬音的な
concordant	一致した
mazer	a large hardwood drinking bowl
reductionist	of or relating to the theory of reductionism; "reductionist arguments"|of or relating to the theory of reductionism
bibliomania	ビブリオマニア
plater	a skilled worker who coats articles with a film of metal (usually silver or gold)
suffragette	女性の婦人参政権論者
graviton	重力子
repentant	後悔している
chopstick	箸|はし
edify	を強化する|啓発する|の精神を高揚する|教化する
iconoclastic	聖像破壊の|因襲打破の
nonwhite	非白人
shoutout	叫ぶ|大声を出す
redaction	編集|編修|編輯|作文
meanness	つまらなさ|粗悪|貧弱さ|卑しさ|野卑|卑劣|けち|卑劣な言行
arboreal	樹木の|樹木状の|木にすむ|樹上性の
inhalant	吸入剤
unassailable	攻めることのできない|難攻不落の
disharmony	不調和
overstatement	誇張|大げさな話|誇張した説明
culex	イエカ属
orthostatic	起立性
mammon	(悪の根源としての)富|財宝|《M-》(富・強欲の擬人的偶像としての)マモン神
discoverable	発見できる|気付くことができる
atrophic	萎縮性
husbandman	農夫
molehill	モグラ塚|何でもない事
whir	ひゅーと飛ぶ|ひゅーという音|びゅ-と飛ぶ|ブンブン音を立てて回る|ブンブンいう音
calcineurin	カルシニューリン|細胞内シグナル伝達に関るタンパク質|高等動物から酵母まで全生物細胞にある|高等動物では一部の免疫抑制剤の標的とし|免疫系で重要な役割を持つ
titmouse	シジュウカラの類の小鳥
revivalist	信仰復興論者
audiocassette	a cassette for audiotape
wheelhouse	(小型旧式船の)操舵(そうだ)室
recency	時間的に近いこと|最近であること
quadriplegic	四肢麻痺の(患者)
kidnapper	誘拐犯
pfennig	ペニッヒ(西ドイツ青銅貨;1|100ドイツマルク)
chauvinist	偏愛主義者|狂信的愛国主義者
facetious	冗談の|滑稽な|ひょうきんな|愉快な
dressmaking	婦人服仕立[業]|洋裁
integrase	インテグラーゼ|ウイルスDNAを細胞染色体につなぎ合わせる酵素
knap	打つ|叩く|切る|剪裁|切り放す|剪除|削る|截断|上げ離す|截ち切る|切り裂く|切り取る
penicillium	genus of fungi commonly growing as green or blue molds on decaying food; used in making cheese and as a source of penicillin|genus of fungi commonly growing as green or blue molds on decaying food|used in making cheese and as a source of penicillin
engorge	食い過ぎる|喰過ぎる|貪食|食過ぎる|食べすぎる|喰い過ぎる|暴食|食べ過ぎる
civilly	ていねいに|礼儀正しく
inquisitively	興味ありげに|物珍しげに
unhurt	けがのない|害を受けない
incredulity	容易に信じないこと|疑い深いこと
rebuff	そっけない拒絶|拒絶(する)|ひじ鉄砲(を～に食わせる)|挫折させる
untaxed	(of goods or funds) not taxed; "tax-exempt bonds"; "an untaxed expense account"|(of goods or funds) not taxed
minimus	the fifth digit; the little finger or little toe|the fifth digit|the little finger or little toe
epididymis	精巣上体 (精子を蓄え|精管へ送り出す精巣内の管)
interlayer	中間層
colorblind	色盲
obligee	債権者|権利者|恩を受けた人
briard	old French breed of large strong usually black dogs having a long tail and long wavy and slightly stiff coat
instinctual	instinctive|本能の|本能的な|天性の|直覚的な
exhumation	発掘
shorebird	海辺の鳥(クサシギ・タシギ・チドリなど)
businesslike	実務的な
attachable	capable of being fastened or added to something else; "a handle attachable by two bolts"|capable of being fastened or added to something else
begrudge	出し渋る
netizen	ネット空間の市民の意|ネット利用者
diacritical	区別に役立つ;発音を区別する
landward	陸の方へ|陸に向かって|(海岸から離れて)陸地寄りにある|陸に面した;陸地の方へ向かう
amusingly	面白おかしく
ostentatious	見せびらかしの|これみよがしの|見栄を張る|けばけばしい
spacial	空間的
tannic	タンニンの;タンニンから得た
midsection	胴中
multicoloured	多彩
radiosonde	ラジオゾンデ(気球からの電波で上空の気象を知らせる装置)
merl	ブラックバード
rhodolite	ロードライト
shylock	高利貸し
subdural	硬膜下
snigger	くすくす笑う|忍び笑い
mooch	(俗くそったれ|素人投資家|だまされやすい奴|バーゲン商品をあさる客|くすねる|ずる休みする|ねだる|ぶらつく|知らん顔をする
sacrum	仙骨(腰椎(ようつい)と尾骨の間の骨)
apheresis	(linguistics) omission at the beginning of a word as in `coon' for `raccoon' or `till' for `until'|omission at the beginning of a word as in `coon' for `raccoon' or `till' for `until'|a procedure in which blood is drawn and separated into its components by dialysis; some are retained and the rest are returned to the donor by transfusion|a procedure in which blood is drawn and separated into its components by dialysis|some are retained and the rest are returned to the donor by transfusion
neurotoxin	神経毒
spherically	in a spherical manner; "spherically shaped"|in a spherical manner
epilator	脱毛剤
underlayment	a pad placed under a carpet
ratepayer	地方税納税者
hardliner	a conservative who is uncompromising
gnarl	(木の)節(ふし)|こぶ
silverside	トウゴロイワシ(縞模様がある小型の魚)|(主に英国)牛のもも肉の上の部分
earthling	地球人
nontaxable	(of goods or funds) not subject to taxation; "the funds of nonprofit organizations are nontaxable"; "income exempt from taxation"|(of goods or funds) not subject to taxation
covetousness	an envious eagerness to possess something
headwind	(船･飛行機などの)向い風|逆風
hurler	投手
piebald	(特に馬などが)白黒まだらの|(特に)白黒まだらの馬
unawares	不意に|思いがけなく
scornful	冷笑的な|軽蔑した|横柄な
vitriolic	辛らつな
offscreen	画面外の
newfangled	新奇の|新式の|最新流行の
crosswise	十字に|すねて
coinfection	同時感染
overstay	国内在留期間切れで不法に残る人|長居する|売り時を逃す|売り時を失する
tuneful	旋律の美しい
birefringence	複屈折
mho	シーメンス|モー|ジーメンス
interpretable	説明可能
disillusion	幻滅
ablative	奪格|名詞の格の一つで|主に起点･分離(～から)を示す
barbarity	〈U〉野蛮|非道|〈C〉野蛮な行為|残虐行為
abbess	尼僧院長|修道女の長
ipomoea	サツマイモ属
uremic	高窒素血症
mescaline	メスカリン(メスカルより採取した幻覚作用のある薬)
connecter	コネクタ|つなぎ|繋ぎ|プラグ|コネクター
humdrum	単調な|退屈な|平凡な|退屈な話
telomeric	テロメア(telomere)の
solidago	goldenrod
capitulate	降伏する|抵抗をやめる|交渉する|屈服する
commonweal	公共の福利(福祉)
neocortex	新皮質
rentable	that is able or fit be rented
cyanocobalamin	シアノコバラミン|ビタミンＢ１２|コバラミン
hypoplasia	形成不全
fatness	肥満
mincer	ひき肉機
bookbinder	製本屋
macron	長音符(記号)(母音の上につけて長母音を示す)
offstage	舞台裏|舞台横の(で)
paintwork	(自動車などの)塗装された面
danceable	suitable for dancing
presumptively	多分|大方|おおかた|おそらく
censer	(特に教会の儀式のときに用いる鎖のついて)つり香炉
arsenide	a compound of arsenic with a more positive element
fixedly	しっかりと固定して;動かさないで
feebly	弱々しく
claudication	跛行|gimp
prurient	好色な|いん乱な|わいせつな
swage	型鉄|〜‘を'型鉄で曲げる(型をつくる)
spritz	a quick squirt of some liquid (usually carbonated water)|eject (a liquid) quickly; "spritz water on a surface"|eject (a liquid) quickly|cover (a location) wholly or partially by squirting a liquid onto it; "Spritz the lawn with water"|cover (a location) wholly or partially by squirting a liquid onto it
panopticon	an area where everything is visible|a circular prison with cells distributed around a central surveillance station; proposed by Jeremy Bentham in 1791|a circular prison with cells distributed around a central surveillance station|proposed by Jeremy Bentham in 1791
myositis	inflammation of muscle tissue
nightshift	〈C〉(昼夜交替制の)夜勤[時間]|〈U〉《the ~》《集合的に》(工場などの)夜間労働者
defecation	脱糞|排便
threadbare	(衣服などが)すり切れて糸目の見える|着古した|(人が)みすぼらしい身なりの|陳腐な|言い古された
anglicanism	the faith and doctrine and practice of the Anglican Church
flakey	奇奇怪怪|突飛|奇抜|奇怪千万|異常|狂逸|怪奇|風変わり|珍妙|けったい
pallone	an Italian game similar to tennis
uneconomic	むだづかいをする|浪費の|不経済な
felly	rim (or part of the rim) into which spokes are inserted
pillory	さらし台|さらし台にさらす
microglia	neuroglial tissue of mesodermal origin that can become phagocytic
pitot	ピトー|ピトー
decolonization	脱植民地化
excreta	排出長(汗・尿・便など)
crewel	ししゅう用の毛糸
recommence	cause to start anew; "The enemy recommenced hostilities after a few days of quiet"|cause to start anew|begin again; "we recommenced his reading after a short nap"|begin again
polymyxin	ポリミキシン
militate	不利に作用･影響する
armorer	a worker skilled in making armor or arms; "a sword made by a famous English armorer"|a worker skilled in making armor or arms|an enlisted man responsible for the upkeep of small arms and machine guns etc.|a manufacturer of firearms
overstep	の度を超す|行き過ぎる|踏み超える
interrelation	(〜の間の)相互関係《+『between』+『名』》
conveyer	コンベヤ|運搬人|運搬機|運搬装置|輸送装置|伝達者|譲渡人
piffle	センスのないくだらん話
parolee	仮出所者
echidna	ハリモグラ|ハリモグラ
jabberwocky	nonsensical language (according to Lewis Carroll)
mauritian	a native or inhabitant of Mauritius|of or related to the island or country of Mauritius or its inhabitants; "Mauritanian tropical fish"|of or related to the island or country of Mauritius or its inhabitants
festoon	花づな|花綱(で飾る)
insurability	the quality of being insurable; the conditions under which an insurance company will issue insurance to an applicant (based on standards set by the insurance company)|the quality of being insurable|the conditions under which an insurance company will issue insurance to an applicant (based on standards set by the insurance company)
fatherly	父の|父らしい|慈父のような
naismith	ジェームズ・ネイスミス
clavicle	鎖骨(collarbone)
quantic	a homogeneous polynomial having at least two variables
reprove	に小言を言う|を叱る|非難する|意見する
moliere	モリエール
caricaturist	[風刺]漫画家
unfeasible	不可能
talcum	=talcum powder|=talc
palatal	《名詞の前にのみ用いて》口蓋(こうがい)の|(子音の発音が)硬口蓋音の|硬口蓋音
adenoid	咽頭扁桃|アデノイド
anatomist	解剖学者
ductility	引き伸ばせること|《文》従順
bugler	らっぱ手|らっぱ吹き
licentiate	(特に大学の発行する)免許状所有者|開業有資格者
permute	〜‘の'順序を変える|(数学で)〈数〉‘を'置換する
inflammable	可燃性の
antonym	反意語|反義語
nougat	ヌガー(木の実がはいった砂糖菓子)
inerrancy	(Christianity) exemption from error; "biblical inerrancy"|exemption from error
phenelzine	フェネルジン
sheldrake	アイサ
headship	the position of headmaster or headmistress|the position of head
multifactorial	(生命科学)多因子性の
unheeded	注意されない|重大な結果を招く
biped	2足ある|二足動物
reviser	校閲者|監修者;校正をする人|再履修者
antiquary	=antiquarian
fictionalize	ノベライズ
mantissa	(対数の)仮数
skittish	(馬などが)ものに驚きやすい|ものおじする|(女)はねっ返りの|おてんばな
nacelle	(飛行機の)機関室|乗務員室
sacrosanct	特に神聖な|至上神聖な|犯すべからざる
revetment	(石やれんがの)擁壁(ようへき)|(特に)護岸舗装
whacky	=wacky
legalism	お役所的形式主義|規則一点張り|法律上の事柄|法律尊重主義|法律問題
negus	ニーガス酒(ワイン・湯・砂糖・香料などを混ぜて作った飲料)
netherworld	下界|地獄
prostration	へばり|意気消沈|衰弱|平伏
underbody	下腹部
overflight	a flight by an aircraft over a particular area (especially over an area in foreign territory)
pyelonephritis	腎盂腎炎
oblation	《しばしば複数形で》《文》(神への)奉納物|供物;(聖体祭儀の)パンとぶどう酒
moonstruck	気のふれた
tawdry	安ぴかの|趣味の悪い
agglomerate	〜'を'固まりにする|固まりになる|固まった|塊状の|固まり|球塊|(溶岩が冷えて固まった)集塊岩
juncus	type genus of the Juncaceae; perennial tufted glabrous marsh plants of temperate regions: rushes|type genus of the Juncaceae|perennial tufted glabrous marsh plants of temperate regions: rushes
mitogenic	分裂促進
turnabout	方向転換|(思想･政策)転向|裏切り|変節
camomile	カミツレ(においの良い白と黄の花のキク科の植物)
choreograph	(バレエの)振付けをする
classicist	古典学者|古典語教育主張者|古典主義者|古典文学者
sarda	サルダ川
intellectualism	知性を働かすこと|知笛追求への専念;知性主義
orchestrator	an arranger who writes for orchestras
solicitous	気づかう
mullein	any of various plants of the genus Verbascum having large usually woolly leaves and terminal spikes of yellow or white or purplish flowers
conveyancer	財産譲渡専門弁護士
cattleya	カトレア
loosestrife	トラノオ|ミソハギ|トラノオ
kasai	a river of southwestern Africa that rises in central Angola and flows east and then north (forming part of the border between Angola and Congo) and continuing northwest through Congo to empty into the Congo River on the border between Congo and Republic of the Congo
wheatfield	麦畑
coneflower	any of various plants of the genus Rudbeckia cultivated for their large usually yellow daisies with prominent central cones|a wildflower of the genus Ratibida|any of various perennials of the eastern United States having thick rough leaves and long-stalked showy flowers with drooping rays and a conelike center
chitchat	雑談|世間話|世間話をする
loblolly	濃いかゆ
pincushion	針差し|針山
photoperiod	photoperiod照光時間|日長|光周期
marineland	a commercial aquarium featuring trained dolphins
snapdragon	金魚草
strychnine	ストリキニーネ(有毒の結晶で中枢神経の興奮剤)
unappreciated	not likely to be rewarded; "grading papers is a thankless task"|not likely to be rewarded|having value that is not acknowledged
waybill	運送目録|貨物運送状;乗客名簿
reveille	起床らっぱ･太鼓
shtick	お決まりのギャグ|特技|特殊な才能|特別の興味
gamete	(生物)配偶子|生殖体(高等動物の卵と精子の総称)
dopant	電磁効果を上げるため半導体に加える少量の不純物
unplayable	(クリケットで)球がうまく飛んで打ち返されない:(ゴルフボールの位置が)打球不可能な位置の|(競技場が)競技[総行]に不適当な|(破損や録音状態が不良で)レコードが満足にかけられない|(曲が難しすぎて)演奏できない
splashy	はねを上げる(上げやすい)|斑点(はんてん)(しみ)だらけの|《おもに米》評判の|はでな|目立つ
derringer	デリンジャー式ピストル(短い銃身で口径が大きい)
writhe	もがく|悶え苦しむ|のたうち回る|ねじ曲がる
subcortical	皮質下
costumer	someone who designs or supplies costumes (as for a play or masquerade)
perineum	(女性陰部の)会陰(えいん)
soymilk	豆乳
pittance	わずかな手当(収入)|少量|少数
snatcher	ひったくり
salacious	みだらな|わいせつな
sapient	賢い
dichloromethane	ジクロロメタン
sinfulness	姦邪|罪悪|よこしま|罪|悪行|罪深いこと|罪咎|悪事|罪科|罪過
recapitulation	要点の繰り返し|要約
hydrophobicity	疎水性
oglala	a member of the Siouan people who constituted a division of the Teton Sioux and who formerly inhabited the Black Hills of western South Dakota|a Siouan language spoken by the Oglala
creaky	きしる|軋み音を立てる
titbit	=tidbit（うまい物の）ひと口; おもしろいニュース）
tati	ジャック・タチ
chassidic	of or relating to the Jewish Hasidim or its members or their beliefs and practices
convalescence	病気の回復|回復期
lithic	石（質）の・(膀胱(ぼうこう)などにできた)結石の
hijacking	ハイジャック
jihadi	of or relating to a jihad
snowsuit	スノースーツ
unceasing	絶え間ない|連続した
disdainful	軽蔑的な|尊大な
knower	a person who knows or apprehends
martinet	(規則|命令に絶対服従の)厳格な人(軍人)
comity	礼譲|礼節|the comity of nations|国際礼譲(各国が他国の法律･制度を尊重する親交関係にあること)
amortise	償却する
carrell	small individual study area in a library
plotline	プロットライン(あらすじ･構想の概略など)
dryly	乾燥して|冷淡に
ellipsoidal	having the nature or shape of an ellipsoid
ingratitude	忘恩の|恩知らずの|不義理の
pathophysiological	病態生理学的な
sportscaster	スポーツキャスター
dodecanese	ドデカネス諸島(Dodecanese)|エーゲ海南東部に点在するギリシア領の島々|そのうち26が有人島|面積・人口とも最大の島はロードス島
amnesiac	記憶喪失者|健忘症患者|記憶喪失症の
paean	勝利(感謝)の歌|賛歌
largesse	過分の祝儀|贈り物|祝儀|気前のいい援助
lorikeet	any of various small lories
tumescent	腫れた
bleary	ぼやけた
splenectomy	脾臓摘出
pediment	ペディメント|古代建築の三角形の切妻壁(gable)
poppet	(かわいがっている)子供(動物);《呼びかけ》かわいい子ちゃん
creamer	クリームすくい取り皿|クリーム生成用冷蔵庫|クリーム入れ|クリーム分離器
restive	いらいらした|手に負えない|反抗的な
flagellum	(バクテリアなどの)鞭毛(べんもう)|むち
farad	ファラッド(静電気容量の実用単位)
handbasket	バスケット|提篭|提げ篭|手籠|籠|手かご|手篭
