commence	を開始する|始まる|を始める
listener	聞き手|聴講生
hearth	暖炉の前|炉|炉床|炉辺|家庭|火床
constituency	有権者|支持者|選挙民|選挙区(の有権者)|得意先|顧客層
bail	保釈(金)|保釈保証人|保釈してもらう|水をかい出す|(厩の)仕切り
meaningless	無意味な|目的のない|無益な|つまらない
commercially	商業上
brigade	旅団|編成する|分類する
aroma	芳香|香気|香り|におい|風格|気品
carbonate	炭酸塩
throng	に群がる|群がる|群集|人だかり|雑踏|多数|集合
misuse	誤用|悪用|誤用する|虐待する
mosque	モスク
evade	巧みに逃げる|をうまく切り抜ける|(質問などを)はぐらかす|法律の目をくぐる|遂行を怠る
duly	正式に
semantics	意味論|意義学
infancy	幼少|幼年期|初期|未成年
fluorescence	蛍光
worthwhile	それ相応の|やりがいのある|むだではない
ordinance	法令|布告|儀式|しきたり|条例
linger	ぐずぐずする|長引く|手間取る|なかなか消えない|残る
polish	を磨く|のつやを出す|を洗練する|を上品にする|磨き粉|光沢剤
pend	保留
ashore	岸に|浜に|陸上に
yer	あなたの
twilight	たそがれの|薄明かり|夕方|黄昏どき
prerequisite	前提条件の|必須の|あらかじめ必要な|必須要件|前提条件
modernization	近代化
pod	さや|小群|まゆ|卵のう
sausage	ソーセージ|ソーセージ形のもの
diabetic	糖尿病の
speechless	黙っている|口がきけない|言葉では表せないほどの|無言の
ancestor	祖先|先祖|始祖|原型
accusation	告発すること|非難|告訴|告発
defective	不良の
piety	敬虔(な行為)|敬愛|お祈り
scribe	作家|新聞記者|筆記者|写本筆写者|書記|書く|writer|newsman
microphone	マイク|マイクロフォン
clutch	を掴む|にしがみつく|把握|クラッチ|ピンチ
violet	スミレ|すみれの花|すみれ色
multiplication	掛け算|乗法|増加|繁殖
transitional	移り変わりの
greedy	どん欲な|切望した|欲張りの
modal	様式の|様態の|形式上の|形態上の
inconsistency	不調和|無定見|矛盾
sulfur	を硫黄で処理する|硫黄
payable	採算のとれる|支払うべき|支払うことのできる|支払満期の|もうかる
confidentiality	信任の厚いこと|秘密性|機密主義|機密保持
hurricane	ハリケーン|あらし
mythology	神話学|神話(集)
fling	放り投げる|(軍隊など)を投入する|急に～する|情事
placebo	(有効成分のない)偽薬|プラシーボ
squadron	戦車大隊|飛行中隊|中隊|小艦隊|飛行編隊
worldview	世界観
revive	を生き返らせる|回復させる|を元気にする|を復興させる
itch	かゆみ
anesthesia	麻酔
ballot	投票用紙|(無記名)投票(する)
overload	に荷を積みすぎる
constitutive	構成的な
ecstasy	こうこつ|忘我|有頂天
glint	きらきら光る
maximal	極大の|最大限の|最大の
frenzy	激しい興奮|興奮のるつぼ|逆上させる|熱狂|狂乱|精神錯乱|逆上
fruitful	たくさん実のなる|実り豊かな
deprive	奪う|剥奪する
mouthful	一口|口一杯|1口分|一口分|少量
clasp	をしっかり握る|留め金|握手|把握|を留める
forage	食糧を徴発する|飼料|飼い葉|餌あさり
fuse	ヒューズ|信管|導火線|にヒューズを付ける|溶かす|溶ける|融合･連合する
impatience	耐えられないこと|我慢できないこと|いらいらすること
interrogate	尋問する|質問する
locker	ロッカー|箱|冷凍庫|コインロッカー
acknowledgment	(US綴)承認|通知|自認|受取の通知|感謝|礼状|謝意
elevate	昇進させる
childish	子供らしい
tensile	《名詞の前にのみ用いて》張力の|引き伸ばせる
luxurious	快楽を追い求める|贅沢な|豪華な|ありあまるほどの
purchaser	購入者
proprietor	所有者|経営者|持主
unacceptable	受け入れがたい|気に入らない
preferable	より好ましい|ましな
infiltrate	浸透させる|入り込む|侵入する|洗脳する
turmoil	混乱|動揺|騒ぎ
progressively	徐々に
injunction	禁止命令|裁判所の禁止命令|すすめ
seismic	地震の|地震性の
psychiatrist	精神医学者|精神科医
terrestrial	地上の|地球上の
hospitalize	入院させる
upstream	上流の|上流へ|流れにさからって
desolate	ひとけのない|荒れ果てた|孤独の|わびしい|寂しい|を荒廃させる
feasibility	実行可能性
arithmetic	(一般的な)計算力|数値に強い
consolation	慰める人|慰め|慰安|敗者戦
logically	論理的に|必然的に
pasta	パスタ
momentarily	ちょっとの間|すぐに|絶えず
stressful	ストレスの多い
ruthless	容赦ない|残忍な|無情な|冷酷な|無慈悲な
purification	浄化|精製|おはらい|斎戒|清め
errand	使い走り|伝言
seduce	を誘惑する|をそそのかす|誘惑|誘惑する
telegraph	電信|電信機|電報|電報で～を知らせる|電報を打つ
myocardial	心筋の
calibration	目盛り|検量|測定
excursion	遠足(=jaunt)|修学旅行|小旅行|遊覧|割引往復(周遊)旅行|旅行団体|脱線|暴走|軌跡
tournament	トーナメント|試合|競技|選手権大会
overt	明白な|公然の|あからさまの|表立った
tyranny	暴虐行為|暴虐|暴政|圧制|専制|虐待|専制政治
supermarket	スーパーマーケット
uprising	反乱|暴動|謀反|上り坂|起床|起立
vocational	職業(上)の|職業教育の
hostage	宿泊所|抵当|入質(=pawn, pledge, captive)
incumbent	現職の|在職の|行う義務のある|現職者|現職議員|牧師
methyl	メチル|メチル基
recite	学課を復唱する|暗誦する|を暗唱する|を吟唱する|を物語る
mend	直す|修理する|改める|回復する
unpublished	未発表の|未出版の
disruptive	破壊的な|分裂的な
excitedly	ワクワクして|興奮して
slogan	スローガン|標語
waitress	ウエイトレス|女性の給仕
picturesque	絵のように美しい|人目をひく|表現力に富んだ
chess	チェス
necrosis	壊死
unemployed	仕事のない|失業した|利用しない|寝かしてある
nomination	(特に官職の)任命|指名|指定|推薦
subscribe	の援助を与える|(～に)署名する|予約をする|予約金を払う|予約購読する
divinity	神性
helper	助力者
stink	悪臭(を放つ)|スキャンダル|騒動|ひどいもんだ|どうしようもない|化学
purge	浄化|粛正|追放|下剤|(心を)清める|(政党などから人を)追放する|心を清める|汚れを取り除く|粛清する|嫌疑を晴らす
negligible	とるに足らない|無視できる
riddle	なぞなぞ|判じ物|難問|ふるい(にかける)(=sieve)
seq	Sequenceの短縮形|配列　他
hail	歓迎する|を認める|(タクシーなどを)呼び止める|ひょう,あられ
skeptical	懐疑的な|無神論の|疑い深い|疑わしい
morphological	形態学的な
tavern	酒屋|バー(特にむさ苦しい|低級な酒場を指す)
imperialism	帝国主義
familial	家族性|一族に特有な|家族の|家族性の
spontaneously	自発的に
lethal	致命的な|致死の
warmly	熱心に|暖かく|心から
hash	こま切れ肉料理|台無しにする
sparse	まばらな|希薄な|薄い
authentication	立証|認証|特定情報へのアクセスの際|端末装置や個人を識別検証すること
defiance	果敢な抵抗|反抗の態度|反抗|無視
peach	桃(の実)|桃色
rib	あばら骨|肋骨|肉片
viability	生存能力|(胎児の母胎外)生存可能性|実行可能性
parlor	応接室|店|居間|休憩室|乗務員車|客間用の|口先だけの|診察室
footage	フィート(feet)で計った長さ
woe	悲痛|苦悩|悲哀|災難|悩みの種
sponge	拭く|スポンジ(ですばやく拭くこと)|海綿動物|海綿|(俗)大酒飲み|居そうろう|放射能危険区域内の臨時作業員
barren	不毛の|子を生まない|不妊の|実を結ばない|作物ができない|非生産的な
lawful	法的に認められた|合法の
thud	ドサッ|ズシン
silica	シリカ|珪土
protector	保護装置|保護者|後援者|防御物
aquatic	水中の|水の|水生の
impossibility	不可能
dissection	切開|解剖|分析|解体
retrospective	回顧の|既往の
scramble	はい登る|奪い合う|をごちゃ混ぜにする|(盗聴予防に)周波数を変える|緊急発進する|(つる草などが)はびこる
mare	雌馬|雌ロバ|(月･火星などの)海
decidedly	明らかに|議論の余地なく
troop	軍隊|警官隊|(人･動物の)群れ|ぞろぞろ歩く|隊|組み|多数|大勢|集まる
marshal	(英国|その他いくつかの国の)軍司令官|元帥|将官|《米》連邦裁判所の執行官|《米》警察(消防)署長|儀式(パレードなどの)準備担当者|〈兵隊など〉‘を'整列させる|結集させる|〈事|特に事実・考え〉‘を'整理する|整とんする|(所定の位置に)〈人〉‘を'案内する《+『名』〈人〉+『into』+『名』》
seriousness	まじめ|真面目|深刻|真剣
solemnly	厳粛に|まじめに
pathological	病理学の|病的な状態の
workload	(仕事の)負担|仕事量|仕事負荷|作業負荷
patriarchal	家父長制の
northwest	北西部の|北西へ|北西|北西地方
authorize	に権限を与える|委任する|(正式に)認可する|公認する
orchard	果樹園
investigator	調査員
visually	視覚的に
loosen	緩和する|を解く|をゆるめる|を解放する
bizarre	変な|奇妙な|odd|風変りな|異様な
seam	縫い目|継ぎ目|を縫いあわせる|薄層
ft	(単位)フィート|footの複数形
arouse	刺激する|起こす|喚起する|奮起させる
obedient	従順な|すなおな
entrepreneur	起業家|企業家|事業主|興行主|請負人|仲介者
supervise	を監督(管理)する
invaluable	非常に貴重な|priceless
ubiquitous	至る所にある|遍在する
proclamation	宣言|公布|布告|発布|宣言書|声明文
sew	を縫う|縫い物をする|を縫い付ける
curvature	湾曲|曲率|曲がり
metaphysics	形而上学
ornament	装飾|飾る|光彩を添える人|飾り
subconscious	潜在意識(の)
pitcher	ピッチャー|水差し|投手
aerial	(UK英) 空気の|空中の|航空(機)の|アンテナ
consequent	当然の|結果
storytelling	嘘をつく|物語を話す|物語の話術
improper	不適切な|不道徳な|不規則な
persuasive	説得力のある|口のうまい
militant	攻撃的な|好戦的な(人)|交戦中の|交戦状態
tyrant	暴君|圧制者|専制君主
puppet	あやつり人形|傀儡|手先
batter	(野球)連打する|バッター|たたきつぶす
rust	さび|(植物)さび病|さびる|鈍る
indebted	感謝している|thankful|負債がある
miraculous	奇跡的|奇跡的な|素晴らしい|奇跡を起こす力のある
gait	足並み|歩きぶり|足取り|歩調|歩行|歩様|進行
dissatisfaction	不平|不満
eclipse	食|失墜|覆いかくす
backdrop	背景幕|背景|後転(トランポリン)
shareholder	株主
liquidity	流動性
mourn	悲しむ|悼む|喪に服す
repetitive	(けなして)繰り返しの|繰り返しの多い(repetitiousより控えめな語)
refute	論駁(破)する|異義を唱える
periodically	周期的に|定期的に
interplay	～し合う|相互作用
diversion	気晴らし|気分転換
apex	頂上
parable	たとえ話|寓話(例|猿も木から落ちる)
rectangle	長方形|四辺形|矩形
pastry	ねり菓子
footnote	脚注|補足説明
wardrobe	衣装だな|持ち衣装|洋服タンス|衣服|衣装管理係
constrain	抑えつける|制約する|束縛する|強いる|押さえる
oval	楕円|卵形の|長円形の
frantic	気違いじみた|狂気じめた|半狂乱の|死にものぐるいの
enactment	立法
infrared	赤外線|赤外線の
rinse	すすぎ
narrowly	かろうじて|狭く|窮屈に|危なく|危うく|間一髪
underlie	の基礎･根底にある|の下に横たわる
scarcity	不足|稀少|まれなこと
competitiveness	競争力
communism	共産主義
recession	景気後退|後退|退去|窪み|返還
maize	(UK英)トウモロコシ(の実)
owl	フクロウ|もったいぶった人
ambush	待ち伏せる|待ち伏せ(による襲撃)|伏兵
napkin	ハンカチ|ナプキン|おしめ
depletion	使い尽くすこと|枯渇|減損|減価償却
skinny	皮と骨ばかりの|やせこけた|皮の(ような)|けちな|(俗)内部情報|事実
abandonment	放棄
ingredient	内容物|要素|成分|材料|構成要素|要因
sheath	さや|おおい|カバー|葉鞘(ようしよう)|シース(女性用のぴったりしたドレス)
stump	(質問などが)人を困らせる|切り株|歯･手足の基部
rebuke	人を責め咎める|戒める|非難する|なじる|懲戒|抑制|叱責(する)
crab	カニ|あら捜し屋|蟹|あら探しをする(find fault)
nut	木の実をひらう|ナット|堅果|木の実|ナッツ|やつ|男|がんこ者
fibrosis	繊維症|繊維形成|線維症
repentance	後悔
patronage	後援|(ペｲﾄｩﾛﾆｯｼﾞ)(顧客の)ひいき|愛顧|保護|いばった態度|商店へのひいき
resign	放棄する|辞職する|退職する|譲り渡す|を任せる
novelist	小説家
zombie	ゾンビ|zombi|ヘビ神|(俗)機械的動作をする人
surpass	に優る|を超える|しのぐ
slumber	無為に過す|眠り|うとうとする|活動を休止している
dialog	(UK英)dialogue|対話|問答
forcefully	力強く
shovel	シャベル
beforehand	あらかじめ|前には|前もって|早計で
peel	皮|をはがす|むける|はがれる|皮をむく|オレンジなどの皮
breathless	息を切らした
pier	防波提|桟橋|橋脚|窓間壁
foliage	葉|(foliage(総称)|leaf|a needle(針葉)|a blade(草の葉)|a frond(シダなどの))
tomography	断層X線写真(撮影)法
cleavage	裂け目
toddler	よちよち歩きの幼児|歩き始めの子|1～2才児
ecclesiastical	教会の|聖職の
priori	先験的な
pint	パイント(約半リッター)|1パイント容器|1パイントのビール
herein	この中に|ここに
clinician	臨床医
traverse	交差点|横木|横断(する)|に矛盾する|妨害する|を詳しく検討する
troublesome	やっかいな|骨の折れる
frank	フランク(F-人名)|あからさまな|無料送達する|率直な|公然の
ideally	完全無欠に|理想的に|観念的に
stillness	静けさ|静止
acre	エーカー(面積の単位:約4047㎡)|(複数形で)土地|地所
vineyard	ぶどう園|(特に高度の精神的な)仕事場
recourse	頼ること|償還
torso	胴|胴体
diagnose	診断する
flute	フルートを吹く|フルート(横笛)
hereditary	遺伝的な|世襲の
ham	豚のもも肉|ハム|ひざの裏側|(俗)大根役者|大げさに演ずる|アマチュア無線家
warranty	正当な根拠(理由)|保証(書)|担保
browser	ブラウザ
raft	いかだ|(rafting|いかだ競技)
stature	身長(be of short stature|背が低い|(heightが一般的))|成長|卓越|偉大さ
impend	〈物事が〉(〜の上に)今にも起ころうとしている|切迫している《+『over』+『名』》
thence	そこから|それから|その時から
biochemical	生化学的な
baggage	手荷物
orthodox	正統派の|ユダヤ教正統派の|伝統的な|正統の|ギリシア正教の
subdivision	再分割|解体
crane	ツル|鶴|クレーン
gravely	おごそかに
detrimental	有害な
northeast	北東部|北東へ|北東|北東の
subsistence	生存最低生活|生存
cinnamon	シナモン(肉桂皮･香味料)|肉桂(につけい)
neutrality	(国家の)中立|中立政策|中立･不偏不党の状態
aristocratic	貴族の
stabilization	安定(させること)|固定化
covert	隠された|人目につかない|秘密の|(動物の)隠れ場
worthless	価値のない|役立たずな
intracellular	細胞内の
marsh	沼地|湿地(swamp)
quilt	掛け布団|キルト|キルトを編む
bake	焼く
tolerant	寛大な
whisk	をさっと払う|をさっと動かす|を泡立てる|すばやい動き|泡立て器
entitlement	資格があること|有資格|社会保障給付金
fright	恐怖|驚き
moor	《英》荒れ地|荒野(こうや)(特にイングランド・スコットランド地方のヒース(heather)などが一面に生えた湿地)|(綱・錨(いかり)などで)〈船〉‘を'係留する|停泊させる|(一般に)(綱などで)〜‘を'しっかり留める|固定する|〈船が〉停泊する|(一般に)しっかりつながれる
involuntary	いやいやながらの|自発的でない|不本意な|仕方無しの|無意識の
pouch	小袋|袋|を袋に入れる|ポーチ
moss	コケ|こけ|沼|コケで覆う
volcano	火山|噴火口
grudge	恨みを持つ|恨み|出し渋る|悪意
impedance	インピーダンス|電気抵抗
strife	闘争|争い|口論|けんか|争議
rotten	腐った|不愉快な
suburban	偏狭な|郊外の
bureau	官庁の局|事務局(an information bureau案内所)|化粧ダンス
facto	事実上の|(de facto standard事実上の標準|ラテン語)
sinful	罪深い|恥ずべき
torque	トルク|回す力|回転モーメント|貴金属の針金をねじって作った首飾り･首輪･腕輪
fetus	(妊娠3ヵ月以後の)胎児
endothelial	内皮の
demise	死|死亡(する)|崩御|逝去|消滅|終焉|権利譲渡|賃貸する|譲る
edit	編集する
filthy	不潔な|非常に汚い|みだらな
cellulose	セルロース
pelvic	骨盤の
incremental	増加分の|増量の
attribution	帰属|属性|権能
contour	等高線|輪郭|外形|外観
hearty	腹のそこから|食欲が旺盛な|心の暖かい|頑健な
ivory	象牙製の|象牙|象牙色|象牙製のもの|(ピアノの)キー|(玉突の)玉
ultra	過激な|極端な|過激(急進)論者
