warthog	イボイノシシ
electrocute	電気で殺す|処刑する
retool	工場の機械設備を改善する|を再編集する|を改組する
triode	三極真空管
balderdash	猥褻な言葉|戯言|ごたまぜ酒
commendably	りっぱに|感心にも
dozy	ねむい
autophosphorylation	自己リン酸化 (細胞が自ら細胞内のタンパク質をリン酸化|脱リン酸化し|酵素活性や他のタンパク質との会合状態を変化させる機能)
sheave	〈穀物など〉‘を'束ねる
irascibility	怒りっぽいこと|短気
ranchero	農場主
subtend	(幾何で)〈弦・三角形の辺が〉〈弧・角〉‘に'対する|向かい合う
garrulity	おしゃべり|多弁
pule	〈赤ん坊が〉弱々しく泣く
jailbreak	脱獄
undermanned	(船が)通常の人員を欠いている|(職場などに)人手が足りない|要員不足の
wacko	頭のおかしいやつ|へんなやつ
centerfold	(雑誌などの)2ページ見開き|折込みページ
fichu	婦人用三角ストール
moony	月の[光の];月の[光の]のような|《話》夢ごこちの|ぼんやりした
unsay	〈言ったこと〉‘を'取り消す|撤回する|言わなかったことにする
anchorman	(ニュース番組の)総合司会者|ニュースキャスター
bowlegged	わに足の|O脚の|がにまたの
dumbwaiter	(レストランなどで調理場から階上へ料理を運ぶ)小型エレベーター(《英》food lift)|《おもに英》移動式食品台
tansy	〈C〉コモギギク[属](小さな黄色い花の房をつける)|〈U〉(薬用・食用の)ヨモギギクの汁
waggish	こっけいな|おどけた;いたずら好きの
counterespionage	(敵のスパイ活動に対する)対抗スパイ活動
millpond	(水車用)貯水池|水車池
quot	quotation|引用の略語
skinflint	非常にけちな人
internee	抑留されている人|監禁されている人
sough	風がヒューヒュー鳴る|風がヒューヒュー鳴る音
grandnephew	おい(めい)の息子|兄弟の孫息子
polaroid	ポラロイド|(人造偏光板)
scrambler	はうようにして進む人(物)|周波数帯変換器
surlily	不きげんに|無愛想に
venturer	冒険者;投機家
nonsmoker	非喫煙者
shouting	叫び
vermifuge	駆虫剤|虫下し
wunderkind	神童|天才児|(実業界での若手)成功者
bagful	(〜の)袋1杯[の量]《+『of』+『名』》
diametrical	直径の|正反対の
laywoman	女性の平信徒
penstock	(水力発電所・水車などの)導水路;水門
semiofficial	半官半民の
conger	アナゴ(食用の魚)
jowly	下顎の張った|二重顎の
dodgeball	ドッジボール
fanboy	おたく|物事に異常に熱中する人(fanboyは男性のオタク|fangirlは女性のオタク)
semiprofessional	半職業的な|(選手など)セミプロの・半職業人|セミプロ選手
cooperator	(共通の目的を持った)協力者|協同者
czarist	ロシア帝政の|ロシア皇帝の|独裁的な|帝政支持者
distrait	(心配などのために)ぼんやりした|うわの空の
mustiness	かび臭さ|古くさいこと|陳腐
stupefy	ぼう然とさせる|昏睡させる|麻痺させる|仰天する
baluster	手すり子(手すり・らんかんの小柱;通例屋外で石造のもの)|《複数形》で=balustrade
postulant	聖職志願者
biennium	2年間
ivied	ツタ(ivy)でおおわれた
syllabification	=syllabication
swinish	(豚のように)意地ぎたない|どん欲な
weathervane	風見
eulogize	賞賛する|ほめたたえる|賛美する|の賛辞を述べる
contortionist	(体を自由自在に曲げる)軽わざ師|曲芸師
mycology	菌学
hagiographer	聖人伝の著者
endosymbiont	細胞内共生
epistatic	上位性|エピスタシスとは|遺伝学において異なる遺伝子座間の相互作用が一つの形質に影響すること
limbless	手足(翼)のない
roadwork	ロードワーク(長距離ランニングによる体力作り)
surefooted	=footsure = sure-footed　足元の確かな　転ばない　確かな　着実な
weeny	ちっちゃな|ちっぽけな
wickerwork	枝編み細工|柳細工
federate	〜‘を'連邦制度にする;〜‘を'連合させて(〜を)作る《+『名』+『into』+『名』》|連邦化する|連合する
fornicate	〈未婚や夫婦でない男女が〉性交渉を持つ|密通する
afterburner	(ジェットエンジンの)再燃焼装置
dele	(印刷物の校正で)〜'を'削除する|削除記号
weightlifter	重量あげ競技者
preponderate	(数量・勢力・重要性などにおいて)(〜より)優位を占める《+『over』+『名』》
hiccough	=hiccup
zloty	ズローティー(ポーランドのニッケル貨および貨幣単位)
endotoxic	内毒素
trombonist	トロンボーン奏者
eponym	名祖|名前の由来となった名|冠名
fanlight	(ドアや窓の上にある)小窓|扇窓|《英》=transom
grounder	簡単に解決できる殺人事件|(野球)ゴロ(= ground ball)
lapwing	タゲリ(ヨーロッパ産の鳥で鋭い鳴き声を出す)
milt	受精可能な|に受精させる|しらこ|魚精
mentalist	=mind reader
postbox	《おもに英》郵便ポスト(《米》mailbox)
horridly	ひどく
mellowness	芳醇(ほうじゅん)|甘美;円熟|成熟
unconscionably	非良心的に|不謹慎にも|不当に|不合理に
oversleep	寝過ごす|寝坊をする
crofter	小作農
inkpot	インクつぼ|インクびん
rebroadcast	再放送|再放送番組|中継放送|再放送する|中継放送する
boggle	しりごみする|英単語をつくるゲーム
prorogue	〈議会〉‘を'停会にする
prolegomena	=prolegomenon
perambulate	〈場所〉‘を'歩き回る|巡回する|歩き回る
ordure	《遠回しに》糞(ふん)|排せつ物・《文》汚れ|ごみ・汚物;みだらなこと［言葉］
annalist	年代記の編者
edgeways	=edgewise
howdah	(象の背に載せて人が乗る天蓋(てんがい)付きの)かご
sucky	嫌な
slantwise	(また『slantways』)斜めに|はすに|斜めの|はすの
southpaw	左ききの選手(ボクサー)|左投げの投手|左ききの
inductee	徴募兵
mariculture	海水魚人工養殖
puttee	巻きゲートル
unfunny	面白くない
vivify	〜‘に'生命(生気)を与える|〜‘を'生き生きさせる
lymphoblast	リンパ芽球
piezoelectricity	ピエゾ電気|圧電気(ある種の石への圧力で生ずる電気)
carryout	(食堂で)お持ち帰り料理|(料理が)お持ち帰り用の
feudalistic	封建制度の|封建的な
furthermost	最も遠い(farthest|furthest)
redact	〈布告など〉‘を'作成する|〜‘を'編集する;〜‘を'校正(改訂)する
potsherd	(特に考古学的価値のある)陶器片
autarchy	〈U〉独裁(専制)政治|〈C〉独裁(専制)国家|=autarky 2
asterism	〈U〉星状光彩(結晶した鉱物に見られる星形の光の反射)|〈C〉星群;星座
florescence	開花;開花期|盛り|繁栄期
polder	(特にオランダの)干拓地|低地帯
appropriator	専有する人|盗用(横領)する人|《英》教会禄(ろく)の設定を受けた宗教法人
chaffinch	ズアオアトリ(ヨーロッパ産の小型の鳴き鳥)
josh	からかい|悪意のない冗談|冗談|冗談を言う|からかう|冷やかす
potshot	手当たり次第の射撃
indite	〈演説・詩など〉‘を'書く|作る
milliard	10億(billion)
histo	ヒストグラム(度数分布図|柱状グラフ)の略
ocelot	オセロット|ヒョウネコ
papoose	北米インディアンの赤ん坊|赤ん坊を背負う袋
tamarack	アメリカカラマツ;〈U〉その木材
blarney	おせじ|おべっか|〈人〉を甘言でくどく|おせじ(おべっか)を言う
drumhead	〈U〉太鼓の皮|〈C〉鼓膜(こまく)
fangirl	ファンの女の子
kynurenine	キヌレニン|トリプトファンからナイアシンを生合成する際の中間体のひとつで|アミノ酸のひとつ
underachieve	(特に学業で)水準以下の成績をとる
weatherboard	(また weather boarding)《英》=clapboard
ebullience	幸福感と喜びに満ちあふれること
housewifery	家政|家事
turndown	(えりなどが)折り返しの
souse	(水などに)〜‘を'入れる|突っ込む《+『名』+『in』(『into』)+『名』〈水など〉》|〜‘を'ずぶぬれにする|〜‘を'酢(塩水)につける|《米》〜‘を'酔わせる|水につかる|ずぶぬれになる|《米》酔っ払う|(豚の足などの)塩づけ|(つけ物の)塩づけ汁|塩水|《米》大酒飲み|酔っ払い
downstate	州の南部|州南部へ(で)|州南部の|州南部特有の
insalubrious	(気候・風土が)建築によくない|不健康な
pectic	ペクチンの|膠素(こうそ)の
plink	(銃などで練習･遊びとしてを)撃つ|(楽器などを)ポロン･ペンと弾く|(チリン･リンなど)軽く響く音を断続的に立てる
songstress	(特に流行歌を歌う)女性歌手
vendee	買い主|買受人
biconvex	(レンズなどが)両凸(とつ)の
animalcule	(肉眼ではほとんど見られない)極微動物
appall	をぞっとさせる
dissembler	しらばくれる人|ねこかぶり
grotty	きたない|不潔な|不快な
barmy	愚かな|少し気が変な(《米》balmy)
hotcake	ホットケーキ
prorogation	(英国議会の)閉会|停会
alembic	ランビキ(昔の蒸留器|浄化器)
disestablish	〈既成の制度など〉‘を'廃止する|〈教会〉‘の'国教制を廃止する
nitpick	細かいあら捜しをする|重箱の隅をつつく
slickly	滑らかに
scatterbrained	散漫な|軽率な|うわついた
samarium	サマリウム(銀色の希土類元素;化学記号は『Sm』)
intermembrane	膜間(の)
incrustation	=encrustation
mistily	霧が深く|おぼろに|ぼんやりと
pennyroyal	ハッカ類の植物
seeming	うわべの|見せ掛けの|うわべ|外観|外見だけの
jilt	恋人を捨てる女|〈特に女性が〉〈恋人・愛人〉‘を'捨てる
cay	岩礁|洲|洲島|小島
dovish	ハトのような|ハト派的な|穏健派の|hawkish
testate	(法的に)有効な遺言を残した
ideologist	観念論者;空想家
cogwheel	[はめば]歯車
cowhand	=cowboy
cloudlet	小さな雲
filbert	ハシバミ;ハシバミの実
headhunter	首狩りを行う未開人|人材を引き抜く人
grogginess	ふらふらすること|千鳥足
pinworm	ギョウチュウ(人間の腸に寄生する蟯虫)
fulminate	声高に非難する|抗議する|爆発音を出す|電光のようにひらめく
ballade	バラード|物語詩|譚(たん)詩(フランス詩の一形式)|(音楽の)バラード|譚詩曲
oversexed	性的興味(性欲)が強過ぎる
squashy	つぶれやすい;(土地が)ぬかるみの;ぐしゃぐしゃの
intercalate	〜‘を'間に入れる|挿入する|〈うるうの日・月〉‘を'暦に入れる
airhead	変人
botanically	植物学士|植物学的に
resample	リサンプル
snit	イライラ|苛立ち|くだらん奴興奮|癇(かん)に障(さわ)る奴
infelicity	(言動の)不適当|不適切
backdate	(〜にまで)〜‘の'日付をさかのぼる《+『名』+『to』+『名』》
fricassee	フリカッセ(鳥・子牛・ウサギなどのこま切れ肉を用いた汁の少ないシチュー)|〈肉〉‘を'フリカッセにする
splenetic	脾臓(ひぞう)の|気むずかしい|怒りっぽい|意地の悪い
sirup	=syrup
translocase	トランスロカーゼ(酵素)|転位酵素
snog	キスする|愛撫する|キス|愛撫
museo	美術館|博物館のスペイン語(およびラテン系言語)
recoilless	はね返りのない
swashbuckler	(特に映画や物語の中で)向こうみずを自慢する人(冒険家|軍人など)
maltreat	〜‘を'虐待する|酷使する
comestible	食料品
obstructionism	議事妨害[行為]
shellfire	砲火|砲弾
tailwind	追い風
mullion	窓の縦仕切り|窓の仕切り|縦仕切り|(反|transom|窓の横仕切り|横棒)
busker	大道芸人|旅回り芸人
farsightedness	遠視
goodby	さようなら=goodbye
smokiness	煙だらけ
godparent	名付け親(生まれた子の洗礼式に立ち会って名前を与える人)
oddment	残り物|はんぱ物;がらくた
convoke	〈会議など〉'を'召集する
cannibalize	(車･機械)分解･解体する|(人の)肉を食う|共食いする
emulous	競い合う|競争心の強い;(〜を得ようと)競い合う《+『of』+『名』》
purvey	まかなう|調達する|伝える
quietus	《文》(債務などの)清算|解除|死|とどめ
hoyden	おてんば娘
convalesce	病気から回復する
erecta	エレクタ (黄色オレンジ色の花が咲く花の名) 
guiltiness	罪のあること|有罪;やましいこと
intermezzo	(劇・歌劇などの)幕合いの曲|間奏曲
mensuration	《文》測定|(長さ・面積・体積の)測定法|求積法
minesweeper	(敵の機雷を除去する)掃海艇
agoraphobic	広場(空間)恐怖症にかかった
outplay	〜‘より'じょうずである;(競技などで)〜‘に'勝つ(defeat)
roughhouse	大騒ぎ|ばか騒ぎ|大げんか
harrier	ハリヤー犬(ウサギ狩りに用いる)|クロスカントリーレースの走者
hipbone	座骨|無名骨《腸骨・坐骨・恥骨からなる》
cogitate	(〜について)熟考する《+『on』(『about』|『over』)+『名』》
dago	《軽べつして》スペイン(ポルトガル|イタリア)系の人
gimmicky	見てくればかりの|からくりで人目を引く
moray	ウツボ(魚)
muskeg	北米北部の沼沢地帯
mantissa	(対数の)仮数
preaching	説教
tachometer	タコメーター|回転速度計
confutation	論駁|論破|やりこめること
fasting	絶食|断食|物忌み
aflutter	(旗などが)はためいて|ひらひらして
manicurist	マニキュア師
stertorous	(病気のため)高いびきをかく
touchline	(ラグビー・サッカーで)タッチライン
pawpaw	=papaw
stannous	錫(すず)の(を含む)|(特に)第一錫の|2価の錫を含む
blabber	おしゃべりをする人|口の軽い人
overtax	重税をかける
balky	(馬が)急に止まる癖のある|(人など)がんこな|強情な
cruse	陶器のつぼ
brut	(ぶどう酒が)甘味のない|辛口の
immunogen	免疫原
vitis	ブドウ科植物の属名
dimwitted	ばかな|愚かな
troubleshooter	問題解決者|故障発見者|紛争調停者
falchion	鎌(かま)形刀(中世の幅広でそり返った刀)
permeabilized	透過処理
overplay	大げさな演技をする
antisepsis	殺菌による防腐[法](消毒[法])
byplay	(特に舞台で本筋の進行中に行われる)わき演技
hemophiliac	血友病患者(の)
agriculturalist	農業経営者;農業専門家
hakim	裁判官|太守|知事
sideswipe	(すれ違いざまに)〜‘を'横殴りする
vagary	気まぐれ
patricide	父殺しの行為;〈C〉父殺しをした人
surtax	所得税|付加税
bereave	(bereft|bereaved)(生命･財産など)を奪う|失わせる
hoarfrost	白霜
debauchee	放蕩者|道楽者
footlocker	(身の回り品を入れておく)小型トランク
macerate	湯や水に浸して柔らかにする|やせ衰えさせる
lamplighter	(街灯の)点灯夫;点灯用具
lodgement	=lodgment
naiad	(ギリシア神話・ローマ神話で|少女の姿をして川や泉に住む)水の精
peen	金づちの頭(くぎを打つ平らな部分の反対側)
cockfight	闘鶏(試合)
dyne	ダイン(力の単位|dyn)
staysail	支索帆(両マスト間の三角帆など)
scattershot	やみくもの|めくら滅法の|でたらめの
dimity	(ベッドカバー・カーテンに用いる)浮きじま綿布
exergonic	エネルギーを発生する
kleptomania	(病的)窃盗症|盗癖
plummy	好ましい|上等な|素晴らしい|スモモの|プラムのたくさん入った|干しブドウ入りの|丸くぽちゃぽちゃした|声量の豊かな
splintery	裂けやすい|割れやすい|破片の多い;破片のような
pinyon	=pinon
slicker	長いゆるやかなレインコート|詐欺師|如才のない都会人
sophomoric	(高校･大学)2年生の|青くさい|知ったかぶりの|生意気な
heliport	ヘリポート(ヘリコプター発着場)
spoilsport	他人の楽しみをだいなしにする人
damnit	くそっ
fishwife	魚売り女|がみがみ女
heathendom	異教の信仰|異端|《集合的に》異教徒
knout	革むち(昔のロシアの刑具)
schoolbook	教科書|教科書的な
abominate	《文》〜'を'忌みきらう;《話》〜‘が'大きらい
bicentenary	=bicentennial
lifejacket	救命胴着
misfeasance	(法律用語で)不法行為
cummerbund	カマーバンド(タキシードの下に着用する幅広の腰帯)
unitarian	ユニテリアン派(プロテスタントの一派|三位一体の教義(The doctrine of the Trinity|父と子と聖霊)を排して唯一の神格を主張し|キリストを神としない)クリスチャン
beery	ビールの|ビール好きの|ビール臭い
gosling	ガチョウの子
aborigine	原住民;《通例複数形で》土着の動物(植物)
bindweed	ヒルガオの類の植物
cheep	ヒヨコの鳴き声|ピヨピヨ
correlogram	相関曲線
fieldstone	自然石
keyless	(時計が)巻きねじの不要な;竜頭(りゅうず)巻きの
monitory	警告する|注意を与える
pedantically	学者ぶって|物知り顔で
infiltrator	侵入者|潜入者
arquebus	火縄銃
anywise	どうしても|なんとしても
distain	(〜を)差し押さえる《+『upon』+『名』》|〜‘を'差し押さえる
trinitrotoluene	トリニトロトルエン|高性能爆薬(《略》TNT|T.N.T.)
unshaved	陰のない;(絵画が)陰影をつけない|日よけ(おおい)のついていない;(電気スタンドなどが)シェードのついていない
webmaster	ウェブマスター
cockatrice	コカトリス(伝説上の怪物;頭・足・翼は鶏|胴と尾は蛇)
gumboots	ゴム長靴
insipidity	(飲食物の)風味のなさ|(人・話などの)味気なさ
stonecutter	石工|石切り工;石切り機
trendsetter	流行仕掛け人|流行の最先端にいる人
vermiform	(形が)虫状の
cajolery	うまい言葉でだますこと|たぶらかし
copeck	=kopeck
hereon	ここにおいて|この直後に|このすぐ後で
murrain	家畜の伝染病の総称
stridency	耳ざわりなこと|きしること
stockyard	(市場などの)家畜置き場
ammonite	アンモン貝|アンモナイト
extrusive	突き出す|押し出す|(岩石が火山から)噴出する
numismatics	貨幣(古銭)の研究(収集)
postpaid	郵便料金前払いの|郵便料金前払いで(《英》は{形}{副}ともpost-free)
seersucker	シアサッカー(しまのある縮れた薄織りリンネル･紳士用スーツ生地)
windbag	おしゃべりな人|(バグパイプの)空気袋
busywork	忙しいが価値のない仕事
unshorn	(羊などが)毛を刈取られていない
cigarillo	細い葉巻
pastille	トローチ(のどの薬などの入ったドロップ式錠剤)(troche)
danseuse	女子のバレエダンサー
egomaniac	極端な自尊家|極端に自己中心的な人|病的な自己中心者
smarten	〈人・服など〉‘を'きれいにする|きちんとする《+『up』+『名|』+『名』+『up』》|〈人・服が〉きれいになる
paratroops	落下傘部隊
tannoy	拡声器(loudspeaker)による宣伝　(商標)タノイ　タンノイ　スピーカーの一種
careerism	立身出世主義
copperhead	カパーヘッド(アメリカマムシ)|豪州産コモチコブラの一種|南部に同情した北部人
pix	写真|絵|(pic=picture)の複数形
tron	トロン (すべての技術情報が公開･利用できるというオープンな思想の組込み用技術開発プロジェクト) 東京大学の坂村健教授が開発
vulpine	キツネの|キツネのような;(キツネのように)ずるがしこい
whipt	whip の過去・過去分詞
magnetize	を磁化する|磁気を与える|磁化する|引き付ける|魅了する
belvedere	見晴らし台|展望台|望楼
corgi	コーギー犬(短足・胴長の小型犬)
ravisher	うっとりしている人|恍惚(こうこつ)の人|《文》強奪者;強姦者
stapler	ホッチキス(和製英語)
vocable	音語(意味に関係なく音と文字からみた語)　単語　母音　発声できる
handsaw	(片手で使う)手のこぎり
souffle	スフレ(卵の白身･ミルクなどをふくらまして焼いたもの)
armlet	腕輪|腕飾り(手首でなく腕上膊(じょうはく)部にはめる)|小さな入り江
sodomite	男色家;獣姦(じゅうかん)者
brio	活気|元気
bioscience	バイオサイエンス
comedienne	喜劇女優|女性コメディアン
whiner	哀れっぽい声を出す人(犬)|すすり泣く人;ぐちをこぼす人
diminuendo	次第に弱まる(弱める)|次第に弱く|次第に弱くなること|ディミヌエンドの楽節
equiangular	等角の
glibness	よく回る舌|達者な口
scentless	かおりのない
xeric	乾燥した|湿度の低い
etude	(音楽の)練習曲|エチュード;(絵の)習作
hosier	靴下・下着商|メリヤス商
archaeon	archaea(古細菌)の単数形
caiman	カイマン|小型のワニ|caymanとも綴る
housebreaker	(特に昼間の)押込み強盗
wrasse	ベラ(海水魚の一種)
microliter	マイクロリットル
fellowman	(人類の)仲間|同胞
bamboozle	〜'を'だます|あざむく|煙に巻く;〜'を'だまして(〜)させる(させない)《+『名』+『into』(『out of』)+『名』(do『ing』)》
preovulatory	排卵前の
supercharge	〈エンジン〉‘に'過給する
plunderer	略奪者
finagle	いんちきする|ごまかす
quadrivium	(中世の大学の)四学科(算術・幾何・天文学・音楽)
thole	かい座ピン(ボートのへりにさし込んであるオール受け)　船の櫓べそ　かい受け軸　瓶　栓
underexpose	〈写真のフィルム〉‘を'露出不足にする
whippet	ホイペット(小型の競走犬)
natter	不平を言う
cryosurgery	低温(凍結)外科療法(組織の破壊などに極度の低温を用いる療法)
nosiness	せんさく好き|おせっかい
simpatico	気の合う|同じ性質の
conk	パンチ|一撃|縮れ毛を(アルカリ溶液などで)伸ばすこと
ambulant	巡回する|動き回る|(患者が)歩行可能な|外来の
demijohn	(かご細工で包んだ)細口びん(1‐10ガロン入り)
dairymaid	酪農場で働く女|乳しぼり女
emigre	移住者
saxifrage	ユキノシタ(高山植物)
archrival	第一級の競争相手|大敵
flageolet	フラジョレット(小型の縦笛式木管楽器)
gangling	(身長・脚などが)ぶざまなほどひょろ長い
milepost	(ある場所との距離を示した)マイル標|里程標
coordinately	協調
demulcent	(薬剤などが)鎮痛の|沈静の|鎮痛剤|緩和剤
jamboree	(特に全国的･国際的な)ボーイスカウト大会|底抜け騒ぎ
pigpen	=pigsty
shyster	いんちき弁護士
scrimp	倹約する|切詰める|切り詰める|節約する
tweeter	ツイーター|高音用スピーカー
apparatchik	(ソ連の)政治局員|党官僚
customhouse	税関(《英》customs house)
moonscape	月面の眺め;月面写真
polyandrous	一妻多夫の|(植物が)多雄ずい性の
quarterfinal	準々決勝
jinni	=genie
affricate	破擦音
costermonger	(特にロンドンで)果物野菜を荷車にのせて呼売りする人
decrescendo	(音楽で)しだいに弱くなる|しだいに弱く
homozygote	ホモ接合体
sportscaster	スポーツキャスター
backcloth	=backdrop
cycloheximide	シクロヘキシミド|真核生物のタンパク質合成の阻害剤|DNA損傷|催奇性のため|「in vitro(生体外)」でのタンパク質合成阻害研究に使われ|ヒトの治療薬には不適
nurseryman	苗畑の所有者|苗木屋
northwestward	北西へ(に)|北西の;北西へ向かう|北西|北西部
unscramble	〈混乱したもの〉‘を'元どおりにする|整頓する|〈混線した通信など〉‘を'分かるようにする|〈暗号〉
ulcerate	潰瘍を生じる|〜に潰瘍を生じさせる
bloodstone	血玉髄|血石(玉髄に赤い斑点のある石)
cotter	(機械の)くさび栓(せん)|=cotter pin
soapsuds	=suds 1
tambour	(刺しゅう用の布地を張る2個の)わく|太鼓|(家具の)蛇腹とびら
disoblige	〜‘の'意に添わない|便宜を計ってやらない
enjoyably	楽しく
paleography	古文書学
pressman	印刷工|《英語》新聞記者
